"UKPRN","Institution","Subject","Level","Question number","answered 1","answered 2","answered 3","answered 4","answered 5","N/A","Confidence interval - min","Actual value","Confidence interval - max","Number of Respondents","Sample size","Two years aggregate data?"
10003189,"KIRKLEES COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Q22",0%,18%,11%,36%,36%,0,51%,71%,86%,28,39,"Y"
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q1",2%,0%,12%,51%,35%,0,71%,86%,94%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q2",0%,2%,12%,65%,21%,0,71%,86%,94%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q3",0%,0%,12%,49%,40%,0,74%,88%,95%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q4",0%,0%,7%,56%,37%,0,80%,93%,98%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q5",2%,2%,14%,33%,49%,0,66%,81%,91%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q6",0%,5%,7%,53%,35%,0,74%,88%,95%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q7",2%,5%,19%,47%,28%,0,58%,74%,86%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q8",0%,7%,16%,40%,37%,0,61%,77%,88%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q9",0%,5%,26%,36%,33%,1,52%,69%,82%,42,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q10",2%,2%,14%,55%,26%,1,65%,81%,91%,42,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q11",2%,14%,5%,50%,29%,1,62%,79%,89%,42,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q12",0%,7%,22%,46%,24%,2,54%,71%,83%,41,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q13",2%,9%,9%,56%,23%,0,63%,79%,89%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q14",9%,14%,21%,37%,19%,0,40%,56%,71%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q15",7%,12%,30%,26%,26%,0,35%,51%,67%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q16",2%,14%,16%,51%,16%,0,51%,67%,81%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q17",5%,7%,23%,44%,21%,0,49%,65%,79%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q18",3%,14%,32%,38%,14%,6,34%,51%,68%,37,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q19",0%,2%,9%,44%,44%,0,74%,88%,95%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q20",0%,2%,7%,44%,47%,0,77%,91%,97%,43,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q21",0%,0%,10%,51%,39%,2,76%,90%,96%,41,52,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Q22",0%,7%,12%,47%,35%,0,66%,81%,91%,43,52,
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q1",0%,0%,4%,61%,35%,0,76%,96%,99%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q2",0%,0%,0%,61%,39%,0,83%,100%,100%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q3",0%,4%,0%,43%,52%,0,76%,96%,99%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q4",0%,0%,9%,48%,43%,0,71%,91%,98%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q5",0%,0%,4%,39%,57%,0,76%,96%,99%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q6",4%,9%,4%,35%,48%,0,60%,83%,94%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q7",4%,13%,17%,22%,43%,0,43%,65%,82%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q8",0%,4%,13%,22%,61%,0,60%,83%,94%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q9",9%,9%,17%,30%,35%,0,43%,65%,82%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q10",4%,0%,13%,39%,43%,0,60%,83%,94%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q11",4%,4%,9%,30%,52%,0,60%,83%,94%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q12",9%,14%,5%,27%,45%,1,50%,73%,88%,22,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q13",4%,9%,22%,26%,39%,0,43%,65%,82%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q14",4%,17%,17%,22%,39%,0,39%,61%,79%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q15",0%,22%,13%,26%,39%,0,43%,65%,82%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q16",4%,17%,13%,39%,26%,0,43%,65%,82%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q17",4%,13%,9%,39%,35%,0,51%,74%,88%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q18",10%,15%,30%,20%,25%,3,24%,45%,68%,20,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q19",0%,4%,9%,39%,48%,0,65%,87%,96%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q20",0%,4%,9%,35%,52%,0,65%,87%,96%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q21",0%,4%,13%,30%,52%,0,60%,83%,94%,23,38,"Y"
10003200,"HULL COLLEGE","(L3.63) Management studies","Other undergraduate","Q22",0%,4%,0%,43%,52%,0,76%,96%,99%,23,38,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q1",0%,2%,8%,57%,33%,0,70%,90%,97%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q2",0%,4%,4%,63%,29%,0,72%,92%,98%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q3",0%,4%,4%,55%,37%,0,72%,92%,98%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q4",0%,4%,12%,35%,49%,0,62%,84%,94%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q5",0%,8%,10%,41%,41%,0,60%,82%,93%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q6",0%,0%,14%,73%,12%,0,65%,86%,95%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q7",0%,6%,4%,29%,61%,0,70%,90%,97%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q8",0%,4%,14%,29%,53%,0,60%,82%,93%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q9",4%,20%,22%,37%,16%,0,33%,53%,73%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q10",6%,8%,8%,49%,29%,0,56%,78%,90%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q11",10%,4%,16%,29%,41%,0,47%,69%,85%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q12",4%,14%,29%,33%,20%,0,33%,53%,73%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q13",6%,12%,12%,53%,16%,0,47%,69%,85%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q14",4%,18%,16%,37%,24%,0,40%,61%,79%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q15",4%,10%,16%,57%,12%,0,47%,69%,85%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q16",10%,29%,4%,29%,29%,0,36%,57%,76%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q17",6%,4%,16%,45%,29%,0,52%,73%,88%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q18",5%,9%,26%,42%,19%,3,38%,60%,79%,22,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q19",0%,4%,14%,29%,53%,0,60%,82%,93%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q20",0%,4%,6%,57%,33%,0,70%,90%,97%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q21",0%,4%,14%,49%,33%,0,60%,82%,93%,25,47,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Q22",0%,12%,6%,41%,41%,0,60%,82%,93%,25,47,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q1",0%,4%,12%,64%,20%,1,63%,84%,94%,25,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q2",0%,15%,15%,50%,19%,0,48%,69%,85%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q3",0%,8%,12%,54%,27%,0,60%,81%,92%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q4",0%,12%,4%,73%,12%,0,64%,85%,94%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q5",4%,15%,4%,58%,19%,0,56%,77%,90%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q6",8%,15%,15%,50%,12%,0,41%,62%,79%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q7",8%,12%,19%,50%,12%,0,41%,62%,79%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q8",8%,15%,27%,38%,12%,0,30%,50%,70%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q9",4%,31%,35%,23%,8%,0,15%,31%,52%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q10",0%,27%,12%,54%,8%,0,41%,62%,79%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q11",0%,12%,12%,62%,15%,0,56%,77%,90%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q12",0%,12%,35%,38%,15%,0,34%,54%,73%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q13",8%,23%,12%,54%,4%,0,37%,58%,76%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q14",12%,35%,12%,35%,8%,0,24%,42%,63%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q15",15%,23%,4%,54%,4%,0,37%,58%,76%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q16",0%,0%,8%,64%,28%,1,73%,92%,98%,25,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q17",0%,8%,15%,38%,38%,0,56%,77%,90%,26,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q18",4%,8%,20%,40%,28%,1,46%,68%,84%,25,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q19",0%,12%,28%,44%,16%,1,39%,60%,78%,25,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q20",0%,16%,20%,48%,16%,1,43%,64%,81%,25,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q21",0%,12%,24%,52%,12%,1,43%,64%,81%,25,46,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Q22",4%,19%,15%,38%,23%,0,41%,62%,79%,26,46,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q1",5%,8%,15%,62%,10%,0,54%,72%,84%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q2",8%,5%,15%,62%,10%,0,54%,72%,84%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q3",8%,8%,10%,54%,21%,0,57%,74%,86%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q4",5%,3%,10%,56%,26%,0,66%,82%,92%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q5",3%,3%,8%,58%,29%,1,71%,87%,95%,38,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q6",3%,3%,16%,58%,21%,1,62%,79%,90%,38,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q7",8%,11%,13%,34%,34%,1,51%,68%,82%,38,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q8",3%,5%,8%,51%,32%,2,67%,84%,93%,37,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q9",5%,14%,14%,51%,16%,2,50%,68%,81%,37,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q10",15%,13%,23%,36%,13%,0,32%,49%,65%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q11",8%,13%,13%,42%,24%,1,48%,66%,80%,38,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q12",8%,5%,32%,35%,19%,2,37%,54%,70%,37,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q13",5%,8%,10%,59%,18%,0,60%,77%,88%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q14",3%,5%,16%,55%,21%,1,59%,76%,88%,38,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q15",5%,13%,21%,44%,18%,0,44%,62%,76%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q16",3%,13%,5%,36%,44%,0,63%,79%,90%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q17",3%,8%,15%,44%,31%,0,57%,74%,86%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q18",3%,3%,15%,58%,21%,6,60%,79%,90%,33,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q19",5%,0%,15%,64%,15%,0,63%,79%,90%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q20",5%,0%,24%,58%,13%,1,53%,71%,84%,38,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q21",5%,3%,21%,51%,21%,0,54%,72%,84%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q22",8%,13%,10%,56%,13%,0,52%,69%,82%,39,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q23",17%,13%,13%,40%,17%,3,37%,57%,74%,30,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q24",3%,10%,21%,28%,38%,4,45%,66%,81%,29,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q25",3%,3%,17%,45%,31%,4,56%,76%,89%,29,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q26",3%,3%,6%,66%,22%,1,70%,88%,95%,32,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q27",3%,0%,16%,42%,39%,2,62%,81%,92%,31,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Q28",3%,0%,18%,48%,30%,0,60%,79%,90%,33,64,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q1",7%,11%,14%,64%,4%,0,47%,68%,83%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q2",4%,11%,36%,43%,7%,0,31%,50%,69%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q3",4%,4%,33%,44%,15%,1,39%,59%,77%,27,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q4",4%,4%,33%,41%,19%,1,39%,59%,77%,27,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q5",11%,25%,14%,43%,7%,0,31%,50%,69%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q6",11%,11%,21%,43%,14%,0,37%,57%,75%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q7",21%,25%,21%,25%,7%,0,17%,32%,53%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q8",14%,29%,18%,36%,4%,0,22%,39%,59%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q9",21%,21%,32%,14%,11%,0,12%,25%,45%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q10",4%,14%,29%,50%,4%,0,34%,54%,72%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q11",4%,14%,21%,54%,7%,0,41%,61%,78%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q12",4%,22%,37%,30%,7%,1,20%,37%,58%,27,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q13",7%,21%,21%,39%,11%,0,31%,50%,69%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q14",11%,18%,29%,25%,18%,0,25%,43%,63%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q15",11%,14%,29%,32%,14%,0,28%,46%,66%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q16",0%,4%,14%,50%,32%,0,62%,82%,93%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q17",4%,7%,7%,43%,39%,0,62%,82%,93%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q18",0%,7%,25%,46%,21%,0,47%,68%,83%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q19",4%,7%,46%,36%,7%,0,25%,43%,63%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q20",4%,11%,43%,32%,11%,0,25%,43%,63%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q21",7%,0%,36%,43%,14%,0,37%,57%,75%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Q22",11%,11%,18%,43%,18%,0,41%,61%,78%,28,40,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q1",2%,6%,11%,77%,4%,0,66%,81%,90%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q2",4%,13%,15%,64%,4%,0,52%,68%,81%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q3",0%,13%,17%,47%,23%,0,54%,70%,82%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q4",4%,6%,17%,64%,9%,0,57%,72%,84%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q5",6%,21%,26%,30%,17%,0,32%,47%,62%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q6",2%,11%,26%,53%,9%,0,46%,62%,75%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q7",17%,21%,15%,45%,2%,0,32%,47%,62%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q8",21%,13%,21%,36%,9%,0,30%,45%,60%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q9",13%,26%,22%,35%,4%,1,25%,39%,55%,46,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q10",9%,9%,20%,57%,7%,1,47%,63%,77%,46,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q11",11%,13%,11%,42%,22%,2,48%,64%,78%,45,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q12",7%,14%,25%,48%,7%,3,39%,55%,70%,44,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q13",23%,21%,15%,34%,6%,0,26%,40%,56%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q14",11%,21%,17%,36%,15%,0,36%,51%,66%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q15",15%,13%,28%,32%,13%,0,30%,45%,60%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q16",2%,2%,4%,47%,45%,0,78%,91%,97%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q17",0%,2%,4%,43%,51%,0,81%,94%,98%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q18",0%,0%,14%,47%,40%,4,71%,86%,94%,43,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q19",2%,9%,18%,57%,14%,3,54%,70%,83%,44,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q20",0%,12%,28%,51%,9%,4,44%,60%,75%,43,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q21",2%,7%,19%,53%,19%,4,56%,72%,84%,43,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","Other undergraduate","Q22",0%,15%,19%,55%,11%,0,50%,66%,79%,47,79,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q1",0%,4%,0%,71%,25%,0,77%,96%,99%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q2",0%,4%,8%,58%,29%,0,67%,88%,96%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q3",0%,8%,0%,25%,67%,0,72%,92%,98%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q4",0%,0%,4%,46%,50%,0,77%,96%,99%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q5",0%,8%,13%,33%,46%,0,57%,79%,92%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q6",4%,0%,21%,38%,38%,0,53%,75%,89%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q7",0%,13%,4%,42%,42%,0,62%,83%,94%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q8",0%,13%,0%,38%,50%,0,67%,88%,96%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q9",0%,4%,33%,33%,29%,0,41%,63%,80%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q10",0%,13%,0%,63%,25%,0,67%,88%,96%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q11",0%,13%,25%,25%,38%,0,41%,63%,80%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q12",4%,13%,13%,33%,38%,0,49%,71%,86%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q13",0%,8%,4%,46%,42%,0,67%,88%,96%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q14",4%,8%,25%,29%,33%,0,41%,63%,80%,24,43,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Q15",8%,17%,17%,33%,25%,0,37%,58%,77%,24,43,"Y"
