"UKPRN","Institution","Subject","Level","Mode ","First class honours","Upper second class honours","Lower / undivided second class honours","Other honours / pass","Ordinary degree","Not subject to classification","Two years aggregate data?"
10002412,"FARNBOROUGH COLLEGE OF TECHNOLOGY","(L3.63) Management studies","First degree","Full-time",5%,30%,50%,15%,0%,0%,"Y"
10002412,"FARNBOROUGH COLLEGE OF TECHNOLOGY","(L3.100) Cinematics and Photography","First degree","Full-time",15%,55%,26%,4%,0%,0%,"Y"
10002412,"FARNBOROUGH COLLEGE OF TECHNOLOGY","(L3.105) Academic studies in Education","First degree","Full-time",10%,45%,35%,15%,0%,0%,"Y"
10002412,"FARNBOROUGH COLLEGE OF TECHNOLOGY","(L3.105) Academic studies in Education","First degree","Part-time",15%,40%,30%,15%,0%,0%,"Y"
10002454,"FILTON COLLEGE","(L3.63) Management studies","First degree","Full-time",15%,80%,5%,0%,0%,0%,
10002454,"FILTON COLLEGE","(L3.105) Academic studies in Education","First degree","Full-time",15%,80%,5%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.19) Psychology","First degree","Full-time",10%,63%,24%,3%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.35) Computer Science","First degree","Full-time",15%,30%,40%,15%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.53) Politics","First degree","Full-time",10%,48%,33%,10%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.54) Sociology","First degree","Full-time",8%,48%,35%,9%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.56) Anthropology","First degree","Full-time",15%,75%,10%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.58) Social Work","First degree","Full-time",0%,40%,50%,10%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.69) Media studies","First degree","Full-time",16%,55%,27%,2%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.75) English studies","First degree","Full-time",9%,59%,31%,1%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.83) Others in European Languages and Area studies","First degree","Full-time",5%,50%,40%,5%,0%,0%,"Y"
10002718,"GOLDSMITHS COLLEGE","(L3.90) History","First degree","Full-time",14%,46%,40%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.95) Fine Art","First degree","Full-time",17%,59%,24%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.96) Design studies","First degree","Full-time",5%,50%,35%,10%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.97) Music","First degree","Full-time",13%,61%,26%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.98) Drama","First degree","Full-time",14%,75%,11%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.105) Academic studies in Education","First degree","Full-time",10%,45%,45%,0%,0%,0%,
10002718,"GOLDSMITHS COLLEGE","(L3.108) Initial Teacher Training","First degree","Full-time",15%,35%,35%,10%,0%,0%,"Y"
10002815,"GUILDFORD COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",5%,10%,10%,75%,0%,0%,
10002815,"GUILDFORD COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.58) Social Work","First degree","Part-time",0%,0%,0%,100%,0%,0%,"Y"
10002815,"GUILDFORD COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.61) Business studies","First degree","Full-time",5%,23%,38%,34%,0%,0%,
10002843,"HADLOW COLLEGE","(L3.21) Animal Science","First degree","Full-time",30%,35%,25%,5%,0%,0%,"Y"
10002843,"HADLOW COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",25%,20%,40%,15%,0%,0%,
10002843,"HADLOW COLLEGE","(L3.49) Landscape Design","First degree","Full-time",20%,50%,25%,0%,0%,0%,"Y"
10002901,"HARPER ADAMS UNIVERSITY COLLEGE","(L3.21) Animal Science","First degree","Full-time",5%,50%,25%,5%,20%,0%,
10002901,"HARPER ADAMS UNIVERSITY COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",6%,41%,43%,4%,5%,0%,
10002901,"HARPER ADAMS UNIVERSITY COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",5%,40%,40%,10%,10%,0%,
10002901,"HARPER ADAMS UNIVERSITY COLLEGE","(L3.61) Business studies","First degree","Full-time",0%,30%,55%,5%,5%,0%,
10002919,"HARTPURY COLLEGE","(L3.18) Sports Science","First degree","Full-time",7%,30%,40%,19%,4%,0%,
10002919,"HARTPURY COLLEGE","(L3.18) Sports Science","First degree","Part-time",0%,15%,35%,40%,10%,0%,"Y"
10002919,"HARTPURY COLLEGE","(L3.21) Animal Science","First degree","Full-time",15%,35%,35%,0%,15%,0%,
10002919,"HARTPURY COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",9%,45%,33%,9%,3%,0%,
10002919,"HARTPURY COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Part-time",0%,10%,40%,25%,25%,0%,"Y"
10002923,"SUSSEX COAST COLLEGE HASTINGS","(L3.95) Fine Art","First degree","Full-time",20%,50%,30%,5%,0%,0%,"Y"
10002923,"SUSSEX COAST COLLEGE HASTINGS","(L3.96) Design studies","First degree","Full-time",20%,50%,30%,5%,0%,0%,"Y"
10003022,"HEREFORD COLLEGE OF ARTS","(L3.95) Fine Art","First degree","Full-time",25%,50%,25%,5%,0%,0%,
10003022,"HEREFORD COLLEGE OF ARTS","(L3.96) Design studies","First degree","Full-time",10%,35%,35%,15%,0%,0%,
10003022,"HEREFORD COLLEGE OF ARTS","(L3.100) Cinematics and Photography","First degree","Full-time",20%,60%,15%,5%,0%,0%,
10003189,"KIRKLEES COLLEGE","(L3.95) Fine Art","First degree","Full-time",30%,35%,30%,5%,0%,0%,"Y"
10003189,"KIRKLEES COLLEGE","(L3.96) Design studies","First degree","Full-time",16%,53%,22%,9%,0%,0%,
10003200,"HULL COLLEGE","(L3.35) Computer Science","First degree","Full-time",5%,45%,35%,15%,0%,0%,
10003200,"HULL COLLEGE","(L3.69) Media studies","First degree","Full-time",0%,15%,5%,80%,0%,0%,"Y"
10003200,"HULL COLLEGE","(L3.96) Design studies","First degree","Full-time",15%,35%,40%,5%,0%,5%,
10003200,"HULL COLLEGE","(L3.97) Music","First degree","Full-time",5%,45%,45%,5%,0%,0%,
10003200,"HULL COLLEGE","(L3.98) Drama","First degree","Full-time",0%,0%,30%,70%,0%,0%,"Y"
10003200,"HULL COLLEGE","(L3.100) Cinematics and Photography","First degree","Full-time",10%,25%,20%,40%,0%,0%,"Y"
10003200,"HULL COLLEGE","(L3.102) Others in Creative Arts and Design","First degree","Full-time",10%,45%,35%,5%,0%,0%,
10003200,"HULL COLLEGE","(L3.105) Academic studies in Education","First degree","Part-time",5%,15%,10%,45%,25%,0%,"Y"
10003270,"IMPERIAL COLLEGE, LONDON","(L3.01) Medicine","First degree","Full-time",12%,36%,4%,0%,0%,48%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",31%,44%,22%,2%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.12) Biology","First degree","Full-time",18%,53%,24%,4%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",12%,57%,29%,2%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",14%,30%,41%,14%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.25) Chemistry","First degree","Full-time",27%,45%,21%,7%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.26) Physics and Astronomy","First degree","Full-time",45%,37%,12%,7%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.28) Geology","First degree","Full-time",20%,60%,10%,10%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.32) Mathematics and Statistics","First degree","Full-time",31%,31%,29%,9%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.35) Computer Science","First degree","Full-time",35%,43%,19%,2%,0%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",24%,47%,25%,4%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.38) Aerospace Engineering","First degree","Full-time",35%,37%,26%,1%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",37%,41%,18%,4%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.41) Civil Engineering","First degree","Full-time",21%,62%,16%,1%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.42) Chemical, Process and Energy Engineering","First degree","Full-time",35%,56%,8%,1%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.44) Materials and Minerals Technology","First degree","Full-time",25%,37%,31%,7%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.61) Business studies","First degree","Full-time",16%,36%,36%,11%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.18) Sports Science","First degree","Full-time",15%,20%,55%,10%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.19) Psychology","First degree","Full-time",5%,61%,33%,1%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.58) Social Work","First degree","Full-time",0%,35%,55%,5%,0%,0%,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.63) Management studies","First degree","Full-time",12%,42%,41%,6%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.63) Management studies","First degree","Part-time",15%,40%,20%,25%,0%,0%,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.67) Tourism, Transport and Travel","First degree","Full-time",10%,45%,45%,5%,0%,0%,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.69) Media studies","First degree","Full-time",5%,45%,44%,6%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.73) Journalism","First degree","Full-time",0%,55%,45%,0%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.75) English studies","First degree","Full-time",6%,52%,38%,3%,1%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.76) American and Australasian studies","First degree","Full-time",5%,45%,45%,5%,0%,0%,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.90) History","First degree","Full-time",3%,45%,47%,5%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.91) Archaeology","First degree","Full-time",2%,66%,29%,4%,0%,0%,"Y"
10003614,"UNIVERSITY OF WINCHESTER","(L3.94) Theology and Religious studies","First degree","Full-time",5%,65%,30%,5%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.98) Drama","First degree","Full-time",4%,58%,39%,0%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.99) Dance","First degree","Full-time",15%,50%,35%,0%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.101) Imaginative Writing","First degree","Full-time",15%,50%,40%,0%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","First degree","Full-time",10%,60%,30%,5%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","First degree","Part-time",5%,5%,0%,5%,90%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.108) Initial Teacher Training","First degree","Full-time",3%,57%,39%,1%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.01) Medicine","First degree","Full-time",0%,0%,0%,0%,0%,100%,
10003645,"KING'S COLLEGE LONDON","(L3.02) Dentistry","First degree","Full-time",1%,1%,0%,0%,0%,98%,
10003645,"KING'S COLLEGE LONDON","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",21%,60%,17%,3%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",8%,59%,29%,4%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.05) Nursing","First degree","Full-time",17%,42%,35%,6%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.05) Nursing","First degree","Part-time",7%,26%,51%,16%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.07) Nutrition","First degree","Full-time",18%,60%,18%,4%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.14) Genetics","First degree","Full-time",15%,35%,40%,15%,0%,0%,"Y"
10003645,"KING'S COLLEGE LONDON","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",16%,34%,43%,7%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.26) Physics and Astronomy","First degree","Full-time",30%,20%,40%,10%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",25%,65%,10%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.32) Mathematics and Statistics","First degree","Full-time",31%,31%,32%,5%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.35) Computer Science","First degree","Full-time",33%,37%,28%,2%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",26%,38%,31%,5%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",32%,36%,23%,9%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.53) Politics","First degree","Full-time",50%,50%,0%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.59) Human and Social Geography","First degree","Full-time",13%,65%,22%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.60) Law","First degree","Full-time",8%,79%,13%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.63) Management studies","First degree","Full-time",16%,47%,31%,6%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.75) English studies","First degree","Full-time",27%,67%,5%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.76) American and Australasian studies","First degree","Full-time",15%,80%,0%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.78) Classics","First degree","Full-time",26%,64%,10%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.79) French studies","First degree","Full-time",15%,65%,15%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.80) German and Scandinavian studies","First degree","Full-time",20%,50%,30%,0%,0%,0%,"Y"
10003645,"KING'S COLLEGE LONDON","(L3.82) Iberian studies","First degree","Full-time",15%,75%,10%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.83) Others in European Languages and Area studies","First degree","Full-time",30%,65%,10%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.84) Linguistics","First degree","Full-time",15%,65%,25%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.85) Comparative Literary studies","First degree","Full-time",20%,65%,15%,0%,0%,0%,"Y"
10003645,"KING'S COLLEGE LONDON","(L3.90) History","First degree","Full-time",24%,74%,1%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.93) Philosophy","First degree","Full-time",32%,58%,8%,2%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.94) Theology and Religious studies","First degree","Full-time",10%,70%,15%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.97) Music","First degree","Full-time",45%,55%,0%,0%,0%,0%,
10003674,"KINGSTON COLLEGE","(L3.61) Business studies","First degree","Full-time",1%,25%,47%,27%,0%,0%,
10003674,"KINGSTON COLLEGE","(L3.98) Drama","First degree","Full-time",10%,60%,25%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",12%,53%,27%,6%,3%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Part-time",0%,5%,35%,30%,30%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.05) Nursing","First degree","Full-time",20%,30%,40%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.05) Nursing","First degree","Part-time",25%,55%,20%,0%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.12) Biology","First degree","Full-time",18%,36%,27%,15%,4%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",10%,35%,30%,25%,0%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.18) Sports Science","First degree","Full-time",12%,30%,40%,13%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.19) Psychology","First degree","Full-time",15%,41%,28%,10%,7%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.25) Chemistry","First degree","Full-time",15%,35%,35%,10%,5%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.27) Forensic and Archaeological Science","First degree","Full-time",20%,45%,30%,5%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.28) Geology","First degree","Full-time",5%,30%,45%,15%,5%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",10%,59%,26%,3%,2%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.32) Mathematics and Statistics","First degree","Full-time",40%,30%,10%,10%,10%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",23%,30%,25%,16%,6%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.35) Computer Science","First degree","Part-time",10%,10%,55%,20%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",27%,37%,8%,7%,21%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Part-time",20%,50%,15%,15%,0%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.38) Aerospace Engineering","First degree","Full-time",21%,31%,15%,10%,6%,17%,
10003678,"KINGSTON UNIVERSITY","(L3.38) Aerospace Engineering","First degree","Part-time",38%,20%,34%,9%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.41) Civil Engineering","First degree","Full-time",11%,58%,24%,8%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.41) Civil Engineering","First degree","Part-time",40%,25%,5%,15%,10%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.47) Architecture","First degree","Full-time",13%,48%,27%,12%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Full-time",15%,50%,34%,1%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Part-time",10%,50%,35%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.49) Landscape Design","First degree","Full-time",30%,45%,10%,15%,0%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","First degree","Full-time",15%,40%,40%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.52) Economics","First degree","Full-time",11%,35%,27%,8%,18%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.53) Politics","First degree","Full-time",5%,40%,30%,15%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.54) Sociology","First degree","Full-time",7%,43%,37%,7%,7%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.58) Social Work","First degree","Full-time",25%,30%,45%,10%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.60) Law","First degree","Full-time",8%,59%,28%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.60) Law","First degree","Part-time",5%,25%,65%,10%,0%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.61) Business studies","First degree","Full-time",9%,39%,39%,11%,2%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.61) Business studies","First degree","Part-time",5%,25%,40%,25%,5%,0%,"Y"
10003678,"KINGSTON UNIVERSITY","(L3.62) Marketing","First degree","Full-time",5%,60%,35%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.66) Accounting","First degree","Full-time",26%,32%,28%,14%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.69) Media studies","First degree","Full-time",10%,45%,31%,4%,10%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.73) Journalism","First degree","Full-time",25%,45%,10%,10%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.75) English studies","First degree","Full-time",17%,56%,21%,5%,1%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.90) History","First degree","Full-time",12%,50%,25%,10%,4%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.95) Fine Art","First degree","Full-time",33%,54%,12%,1%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.96) Design studies","First degree","Full-time",22%,45%,29%,4%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.97) Music","First degree","Full-time",21%,44%,21%,9%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.98) Drama","First degree","Full-time",13%,73%,14%,1%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.100) Cinematics and Photography","First degree","Full-time",21%,49%,17%,5%,8%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.101) Imaginative Writing","First degree","Full-time",25%,60%,10%,5%,0%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.105) Academic studies in Education","First degree","Full-time",26%,43%,25%,4%,2%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.108) Initial Teacher Training","First degree","Full-time",28%,54%,16%,1%,0%,0%,
10003854,"LEEDS COLLEGE OF ART","(L3.62) Marketing","First degree","Full-time",15%,40%,30%,15%,0%,0%,"Y"
10003854,"LEEDS COLLEGE OF ART","(L3.95) Fine Art","First degree","Full-time",20%,35%,35%,10%,0%,0%,
10003854,"LEEDS COLLEGE OF ART","(L3.96) Design studies","First degree","Full-time",24%,50%,22%,4%,0%,0%,
10003854,"LEEDS COLLEGE OF ART","(L3.102) Others in Creative Arts and Design","First degree","Full-time",17%,42%,37%,3%,0%,0%,
10003856,"LEEDS COLLEGE OF MUSIC","(L3.97) Music","First degree","Full-time",15%,53%,30%,2%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",20%,55%,25%,0%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Full-time",10%,37%,36%,17%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.05) Nursing","First degree","Part-time",5%,40%,50%,0%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.07) Nutrition","First degree","Full-time",11%,45%,41%,3%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.09) Aural and Oral Sciences","First degree","Full-time",5%,70%,30%,0%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",8%,34%,48%,7%,2%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","First degree","Part-time",0%,25%,15%,5%,55%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.12) Biology","First degree","Full-time",5%,55%,35%,10%,0%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.17) Others in Biological Sciences","First degree","Full-time",10%,25%,50%,15%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.18) Sports Science","First degree","Full-time",8%,42%,41%,8%,1%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.19) Psychology","First degree","Full-time",8%,40%,47%,5%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",18%,44%,31%,7%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.35) Computer Science","First degree","Part-time",15%,15%,50%,5%,15%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","First degree","Full-time",0%,40%,45%,15%,5%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.41) Civil Engineering","First degree","Part-time",25%,35%,25%,10%,5%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.46) Others in Technology","First degree","Full-time",5%,53%,37%,3%,1%,1%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.47) Architecture","First degree","Full-time",16%,30%,44%,6%,4%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","First degree","Full-time",4%,54%,36%,6%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.48) Building","First degree","Part-time",13%,41%,37%,6%,3%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.49) Landscape Design","First degree","Full-time",20%,45%,35%,0%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","First degree","Part-time",0%,10%,5%,5%,85%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.52) Economics","First degree","Full-time",5%,50%,30%,10%,5%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.53) Politics","First degree","Full-time",10%,50%,25%,10%,5%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.54) Sociology","First degree","Full-time",5%,45%,45%,5%,5%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.55) Social Policy","First degree","Full-time",10%,40%,40%,5%,0%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.57) Others in Social studies","First degree","Full-time",6%,42%,43%,6%,3%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.57) Others in Social studies","First degree","Part-time",0%,30%,40%,20%,10%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.58) Social Work","First degree","Full-time",11%,46%,33%,5%,5%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.59) Human and Social Geography","First degree","Full-time",10%,45%,45%,5%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.60) Law","First degree","Full-time",2%,41%,52%,5%,0%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.60) Law","First degree","Part-time",5%,45%,45%,5%,0%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.61) Business studies","First degree","Full-time",6%,48%,39%,6%,1%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.61) Business studies","First degree","Part-time",2%,2%,14%,3%,79%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.62) Marketing","First degree","Full-time",4%,37%,48%,9%,2%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.63) Management studies","First degree","Full-time",5%,39%,50%,5%,1%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.63) Management studies","First degree","Part-time",5%,20%,35%,25%,10%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.66) Accounting","First degree","Full-time",7%,29%,49%,14%,1%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY","(L3.66) Accounting","First degree","Part-time",5%,5%,40%,55%,0%,0%,"Y"
