"UKPRN","Institution","Subject","Level","Mode","Continuing at institution","Gained intended award or higher","Gained other award at a lower level","Left without award","Dormant","Two years aggregate data?"
10002917,"HARTLEPOOL COLLEGE OF FURTHER EDUCATION","(L3.61) Business studies","Other undergraduate","Part-time",0%,64%,0%,9%,27%,
10002917,"HARTLEPOOL COLLEGE OF FURTHER EDUCATION","(L3.103) Teacher Training","Other undergraduate","Part-time",69%,9%,0%,16%,5%,
10002918,"HARTLEPOOL SIXTH FORM COLLEGE","(L3.60) Law","First degree","Full-time",86%,0%,0%,11%,3%,
10002919,"HARTPURY COLLEGE","(L3.18) Sports Science","First degree","Full-time",71%,10%,0%,4%,14%,
10002919,"HARTPURY COLLEGE","(L3.18) Sports Science","Other undergraduate","Full-time",72%,0%,0%,7%,21%,
10002919,"HARTPURY COLLEGE","(L3.21) Animal Science","First degree","Full-time",82%,8%,2%,5%,5%,
10002919,"HARTPURY COLLEGE","(L3.21) Animal Science","Other undergraduate","Full-time",90%,0%,0%,5%,5%,
10002919,"HARTPURY COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",79%,10%,0%,5%,7%,
10002919,"HARTPURY COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Other undergraduate","Full-time",70%,0%,0%,10%,20%,
10002923,"SUSSEX COAST COLLEGE HASTINGS","(L3.96) Design studies","Other undergraduate","Full-time",80%,0%,0%,15%,5%,
10003010,"HENLEY ENTERPRISES","(L3.03) Anatomy, Physiology and Pathology","Other undergraduate","Full-time",25%,0%,0%,75%,0%,
10003010,"HENLEY ENTERPRISES","(L3.35) Computer Science","Other undergraduate","Full-time",10%,45%,5%,40%,0%,
10003010,"HENLEY ENTERPRISES","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Part-time",50%,20%,0%,30%,0%,
10003010,"HENLEY ENTERPRISES","(L3.103) Teacher Training","Other undergraduate","Part-time",80%,0%,0%,10%,15%,
10003010,"HENLEY ENTERPRISES","(L3.106) Others in Education","Other undergraduate","Part-time",0%,100%,0%,0%,0%,
10003022,"HEREFORD COLLEGE OF ARTS","(L3.95) Fine Art","First degree","Full-time",50%,35%,0%,15%,0%,
10003022,"HEREFORD COLLEGE OF ARTS","(L3.96) Design studies","First degree","Full-time",35%,50%,0%,10%,0%,
10003022,"HEREFORD COLLEGE OF ARTS","(L3.100) Cinematics and Photography","First degree","Full-time",45%,40%,0%,15%,0%,
10003035,"HERTFORD REGIONAL COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",90%,0%,0%,10%,0%,
10003035,"HERTFORD REGIONAL COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Part-time",100%,0%,0%,0%,0%,
10003035,"HERTFORD REGIONAL COLLEGE","(L3.107) Combined","First degree","Full-time",70%,0%,0%,25%,5%,
10003189,"KIRKLEES COLLEGE","(L3.96) Design studies","First degree","Full-time",95%,0%,0%,0%,5%,
10003189,"KIRKLEES COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",70%,15%,0%,0%,15%,
10003200,"HULL COLLEGE","(L3.35) Computer Science","First degree","Full-time",45%,35%,0%,20%,0%,
10003200,"HULL COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Part-time",60%,25%,0%,15%,5%,
10003200,"HULL COLLEGE","(L3.48) Building","Other undergraduate","Part-time",60%,15%,0%,25%,0%,
10003200,"HULL COLLEGE","(L3.58) Social Work","Other undergraduate","Part-time",70%,0%,0%,25%,5%,
10003200,"HULL COLLEGE","(L3.61) Business studies","Other undergraduate","Part-time",65%,0%,0%,35%,0%,
10003200,"HULL COLLEGE","(L3.69) Media studies","First degree","Full-time",10%,80%,0%,10%,0%,
10003200,"HULL COLLEGE","(L3.96) Design studies","First degree","Full-time",55%,30%,0%,10%,0%,
10003200,"HULL COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",80%,0%,0%,20%,0%,
10003200,"HULL COLLEGE","(L3.98) Drama","First degree","Full-time",0%,100%,0%,0%,0%,
10003200,"HULL COLLEGE","(L3.98) Drama","Other undergraduate","Full-time",90%,0%,0%,10%,0%,
10003200,"HULL COLLEGE","(L3.103) Teacher Training","Postgraduate","Part-time",91%,0%,0%,3%,6%,
10003200,"HULL COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",0%,5%,0%,0%,95%,
10003200,"HULL COLLEGE","(L3.108) Initial Teacher Training","Postgraduate","Part-time",0%,5%,0%,0%,95%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.01) Medicine","First degree","Full-time",92%,0%,0%,0%,8%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.01) Medicine","Postgraduate","Full-time",1%,88%,0%,11%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.01) Medicine","Postgraduate","Part-time",77%,7%,0%,6%,10%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",94%,0%,0%,3%,3%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Full-time",0%,65%,0%,35%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.12) Biology","First degree","Full-time",95%,0%,0%,1%,4%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.12) Biology","Postgraduate","Full-time",1%,96%,0%,2%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",96%,0%,0%,1%,3%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.16) Molecular Biology, Biophysics and Biochemistry","Postgraduate","Full-time",0%,95%,0%,5%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.25) Chemistry","First degree","Full-time",94%,0%,0%,3%,3%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.25) Chemistry","Postgraduate","Full-time",0%,90%,0%,10%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.26) Physics and Astronomy","First degree","Full-time",96%,0%,0%,1%,2%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.26) Physics and Astronomy","Postgraduate","Full-time",5%,85%,0%,10%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.28) Geology","First degree","Full-time",90%,0%,0%,10%,5%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.28) Geology","Postgraduate","Full-time",0%,95%,0%,5%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.31) Physical Geography and Environmental Science","Postgraduate","Full-time",1%,97%,0%,2%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.32) Mathematics and Statistics","First degree","Full-time",96%,0%,0%,1%,3%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.32) Mathematics and Statistics","Postgraduate","Full-time",5%,85%,0%,10%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.35) Computer Science","First degree","Full-time",90%,0%,0%,5%,5%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.35) Computer Science","Postgraduate","Full-time",1%,74%,0%,23%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.36) General Engineering","Postgraduate","Full-time",0%,90%,0%,10%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",91%,0%,0%,3%,6%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.37) Mechanical, Production and Manufacturing Engineering","Postgraduate","Full-time",0%,85%,0%,15%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.38) Aerospace Engineering","First degree","Full-time",90%,0%,0%,2%,7%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",92%,0%,0%,1%,7%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.40) Electronic and Electrical Engineering","Postgraduate","Full-time",0%,90%,0%,8%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.41) Civil Engineering","First degree","Full-time",93%,0%,0%,2%,5%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.41) Civil Engineering","Postgraduate","Full-time",1%,88%,0%,11%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.41) Civil Engineering","Postgraduate","Part-time",85%,0%,0%,10%,5%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.42) Chemical, Process and Energy Engineering","First degree","Full-time",95%,0%,0%,3%,2%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.42) Chemical, Process and Energy Engineering","Postgraduate","Full-time",2%,80%,0%,18%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.44) Materials and Minerals Technology","First degree","Full-time",86%,0%,0%,1%,12%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.44) Materials and Minerals Technology","Postgraduate","Full-time",0%,80%,0%,20%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.61) Business studies","Postgraduate","Full-time",0%,90%,0%,9%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.61) Business studies","Postgraduate","Part-time",97%,0%,0%,1%,2%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.65) Finance","Postgraduate","Full-time",0%,80%,0%,19%,1%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.65) Finance","Postgraduate","Part-time",80%,0%,0%,15%,5%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.74) Others in Mass Communications and Documentation","Postgraduate","Full-time",0%,95%,0%,5%,0%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.86) Others in Linguistics, Classics and related subjects","Postgraduate","Full-time",10%,80%,0%,10%,5%,
10003270,"IMPERIAL COLLEGE, LONDON","(L3.105) Academic studies in Education","Postgraduate","Part-time",0%,100%,0%,0%,0%,
10003324,"INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE)","(L3.01) Medicine","Postgraduate","Part-time",54%,0%,0%,2%,45%,
10003406,"ISLE OF WIGHT COLLEGE","(L3.96) Design studies","Other undergraduate","Part-time",30%,35%,0%,10%,20%,
10003513,"JOSEPH PRIESTLEY COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",65%,25%,0%,10%,0%,
10003564,"KENSINGTON AND CHELSEA COLLEGE","(L3.95) Fine Art","Other undergraduate","Full-time",10%,75%,5%,0%,10%,
10003564,"KENSINGTON AND CHELSEA COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",0%,20%,0%,10%,70%,
10003564,"KENSINGTON AND CHELSEA COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",65%,15%,0%,5%,10%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.05) Nursing","Other undergraduate","Part-time",0%,90%,0%,5%,5%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.18) Sports Science","First degree","Full-time",67%,10%,0%,18%,5%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.19) Psychology","First degree","Full-time",83%,6%,0%,10%,2%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.58) Social Work","First degree","Full-time",75%,10%,5%,10%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.63) Management studies","First degree","Full-time",80%,6%,1%,10%,2%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.63) Management studies","Other undergraduate","Part-time",75%,5%,0%,15%,10%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.67) Tourism, Transport and Travel","First degree","Full-time",85%,5%,0%,10%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.69) Media studies","First degree","Full-time",85%,5%,0%,8%,2%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.73) Journalism","First degree","Full-time",85%,0%,0%,5%,5%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.75) English studies","First degree","Full-time",81%,14%,1%,4%,1%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.75) English studies","Postgraduate","Part-time",70%,0%,0%,10%,20%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.76) American and Australasian studies","Other undergraduate","Part-time",0%,100%,0%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.90) History","First degree","Full-time",90%,0%,0%,9%,1%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.91) Archaeology","First degree","Full-time",80%,5%,0%,15%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.94) Theology and Religious studies","First degree","Full-time",80%,0%,0%,15%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.94) Theology and Religious studies","Other undergraduate","Part-time",65%,25%,0%,10%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.94) Theology and Religious studies","Postgraduate","Part-time",65%,0%,0%,15%,25%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.98) Drama","First degree","Full-time",72%,13%,0%,12%,2%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.99) Dance","First degree","Full-time",64%,14%,0%,19%,3%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.101) Imaginative Writing","First degree","Full-time",86%,3%,0%,10%,1%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","First degree","Full-time",80%,10%,0%,10%,5%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","First degree","Part-time",15%,80%,0%,5%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Other undergraduate","Part-time",66%,19%,0%,12%,3%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.105) Academic studies in Education","Postgraduate","Part-time",28%,45%,2%,6%,19%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.108) Initial Teacher Training","First degree","Full-time",94%,0%,1%,4%,1%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.108) Initial Teacher Training","Postgraduate","Full-time",0%,95%,0%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER","(L3.108) Initial Teacher Training","Postgraduate","Part-time",85%,0%,0%,5%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.01) Medicine","First degree","Full-time",99%,0%,0%,1%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.01) Medicine","Postgraduate","Full-time",16%,71%,0%,10%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.01) Medicine","Postgraduate","Part-time",76%,13%,0%,5%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.02) Dentistry","First degree","Full-time",96%,1%,0%,1%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.02) Dentistry","Postgraduate","Full-time",69%,25%,0%,2%,4%,
10003645,"KING'S COLLEGE LONDON","(L3.02) Dentistry","Postgraduate","Part-time",90%,0%,0%,5%,10%,
10003645,"KING'S COLLEGE LONDON","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",84%,9%,0%,2%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.03) Anatomy, Physiology and Pathology","Postgraduate","Full-time",40%,57%,0%,3%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.03) Anatomy, Physiology and Pathology","Postgraduate","Part-time",80%,15%,0%,5%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",92%,0%,0%,3%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.04) Pharmacology, Toxicology and Pharmacy","Postgraduate","Full-time",5%,85%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.05) Nursing","First degree","Full-time",70%,13%,0%,17%,1%,
10003645,"KING'S COLLEGE LONDON","(L3.05) Nursing","First degree","Part-time",67%,1%,0%,7%,24%,
10003645,"KING'S COLLEGE LONDON","(L3.05) Nursing","Other undergraduate","Full-time",74%,0%,0%,25%,1%,
10003645,"KING'S COLLEGE LONDON","(L3.05) Nursing","Postgraduate","Part-time",85%,4%,1%,6%,4%,
10003645,"KING'S COLLEGE LONDON","(L3.07) Nutrition","First degree","Full-time",85%,5%,0%,5%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.07) Nutrition","Postgraduate","Full-time",45%,50%,5%,5%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Part-time",80%,0%,0%,10%,10%,
10003645,"KING'S COLLEGE LONDON","(L3.12) Biology","Postgraduate","Full-time",0%,100%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",95%,0%,0%,0%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.26) Physics and Astronomy","First degree","Full-time",78%,0%,0%,17%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.27) Forensic and Archaeological Science","Postgraduate","Full-time",10%,85%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",90%,0%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.31) Physical Geography and Environmental Science","Postgraduate","Full-time",20%,70%,0%,5%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.32) Mathematics and Statistics","First degree","Full-time",85%,0%,0%,6%,9%,
10003645,"KING'S COLLEGE LONDON","(L3.32) Mathematics and Statistics","Postgraduate","Full-time",20%,70%,0%,0%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.35) Computer Science","First degree","Full-time",77%,0%,0%,14%,9%,
10003645,"KING'S COLLEGE LONDON","(L3.35) Computer Science","Postgraduate","Full-time",23%,63%,0%,8%,7%,
10003645,"KING'S COLLEGE LONDON","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",81%,0%,0%,10%,9%,
10003645,"KING'S COLLEGE LONDON","(L3.37) Mechanical, Production and Manufacturing Engineering","Postgraduate","Full-time",28%,64%,3%,3%,3%,
10003645,"KING'S COLLEGE LONDON","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",85%,0%,0%,5%,10%,
10003645,"KING'S COLLEGE LONDON","(L3.40) Electronic and Electrical Engineering","Postgraduate","Full-time",30%,60%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.53) Politics","First degree","Full-time",98%,0%,0%,0%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.53) Politics","Postgraduate","Full-time",4%,90%,0%,5%,1%,
10003645,"KING'S COLLEGE LONDON","(L3.53) Politics","Postgraduate","Part-time",85%,0%,0%,10%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.59) Human and Social Geography","First degree","Full-time",93%,0%,0%,2%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.59) Human and Social Geography","Postgraduate","Full-time",13%,72%,0%,10%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.60) Law","First degree","Full-time",94%,0%,0%,3%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.60) Law","Postgraduate","Full-time",2%,88%,0%,8%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.60) Law","Postgraduate","Part-time",45%,42%,0%,4%,9%,
10003645,"KING'S COLLEGE LONDON","(L3.63) Management studies","First degree","Full-time",91%,0%,0%,4%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.63) Management studies","Postgraduate","Full-time",18%,72%,0%,2%,8%,
10003645,"KING'S COLLEGE LONDON","(L3.69) Media studies","First degree","Full-time",85%,0%,0%,10%,10%,
10003645,"KING'S COLLEGE LONDON","(L3.74) Others in Mass Communications and Documentation","Postgraduate","Full-time",0%,85%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.75) English studies","First degree","Full-time",93%,0%,0%,3%,4%,
10003645,"KING'S COLLEGE LONDON","(L3.75) English studies","Other undergraduate","Full-time",0%,90%,0%,5%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.75) English studies","Postgraduate","Full-time",5%,83%,0%,5%,7%,
10003645,"KING'S COLLEGE LONDON","(L3.76) American and Australasian studies","First degree","Full-time",90%,0%,0%,5%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.78) Classics","First degree","Full-time",91%,0%,0%,4%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.79) French studies","First degree","Full-time",82%,0%,0%,16%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.82) Iberian studies","First degree","Full-time",90%,0%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.83) Others in European Languages and Area studies","First degree","Full-time",94%,0%,0%,6%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.83) Others in European Languages and Area studies","Postgraduate","Full-time",5%,90%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.84) Linguistics","First degree","Full-time",94%,0%,0%,4%,2%,
10003645,"KING'S COLLEGE LONDON","(L3.84) Linguistics","Postgraduate","Full-time",10%,90%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.84) Linguistics","Postgraduate","Part-time",95%,0%,0%,5%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.90) History","First degree","Full-time",97%,0%,0%,1%,1%,
10003645,"KING'S COLLEGE LONDON","(L3.90) History","Postgraduate","Full-time",0%,90%,0%,10%,5%,
10003645,"KING'S COLLEGE LONDON","(L3.93) Philosophy","First degree","Full-time",95%,2%,0%,3%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.94) Theology and Religious studies","First degree","Full-time",91%,0%,0%,6%,3%,
10003645,"KING'S COLLEGE LONDON","(L3.97) Music","First degree","Full-time",90%,0%,0%,10%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.98) Drama","Postgraduate","Full-time",0%,95%,0%,5%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.105) Academic studies in Education","Postgraduate","Full-time",12%,65%,1%,2%,21%,
10003645,"KING'S COLLEGE LONDON","(L3.105) Academic studies in Education","Postgraduate","Part-time",88%,0%,0%,5%,7%,
10003645,"KING'S COLLEGE LONDON","(L3.106) Others in Education","Other undergraduate","Part-time",95%,5%,0%,0%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.106) Others in Education","Postgraduate","Part-time",88%,7%,0%,6%,0%,
10003645,"KING'S COLLEGE LONDON","(L3.108) Initial Teacher Training","Postgraduate","Full-time",3%,82%,0%,12%,3%,
10003674,"KINGSTON COLLEGE","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Full-time",45%,0%,0%,5%,55%,
10003674,"KINGSTON COLLEGE","(L3.12) Biology","First degree","Full-time",58%,0%,0%,24%,19%,
10003674,"KINGSTON COLLEGE","(L3.32) Mathematics and Statistics","First degree","Full-time",58%,0%,0%,24%,19%,
10003674,"KINGSTON COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",70%,10%,0%,15%,5%,
10003674,"KINGSTON COLLEGE","(L3.35) Computer Science","Other undergraduate","Part-time",20%,35%,5%,40%,5%,
10003674,"KINGSTON COLLEGE","(L3.40) Electronic and Electrical Engineering","Other undergraduate","Part-time",90%,0%,0%,10%,0%,
10003674,"KINGSTON COLLEGE","(L3.61) Business studies","First degree","Full-time",90%,0%,0%,2%,8%,
10003674,"KINGSTON COLLEGE","(L3.61) Business studies","Other undergraduate","Full-time",75%,0%,0%,15%,10%,
10003674,"KINGSTON COLLEGE","(L3.70) Information Services","First degree","Full-time",58%,0%,0%,24%,19%,
10003674,"KINGSTON COLLEGE","(L3.98) Drama","First degree","Full-time",65%,5%,5%,15%,5%,
10003674,"KINGSTON COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Full-time",89%,2%,0%,2%,7%,
10003674,"KINGSTON COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",75%,15%,0%,5%,5%,
10003678,"KINGSTON UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",79%,0%,0%,12%,9%,
10003678,"KINGSTON UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","Postgraduate","Full-time",91%,4%,0%,1%,4%,
10003678,"KINGSTON UNIVERSITY","(L3.05) Nursing","First degree","Full-time",85%,0%,0%,5%,10%,
10003678,"KINGSTON UNIVERSITY","(L3.05) Nursing","First degree","Part-time",81%,6%,6%,3%,6%,
10003678,"KINGSTON UNIVERSITY","(L3.05) Nursing","Other undergraduate","Full-time",86%,2%,0%,7%,4%,
10003678,"KINGSTON UNIVERSITY","(L3.05) Nursing","Postgraduate","Part-time",90%,5%,0%,0%,10%,
10003678,"KINGSTON UNIVERSITY","(L3.10) Medical Technology","Postgraduate","Part-time",32%,54%,3%,0%,11%,
10003678,"KINGSTON UNIVERSITY","(L3.12) Biology","First degree","Full-time",90%,1%,1%,8%,1%,
10003678,"KINGSTON UNIVERSITY","(L3.12) Biology","Postgraduate","Full-time",75%,10%,5%,5%,10%,
10003678,"KINGSTON UNIVERSITY","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",90%,0%,0%,5%,5%,
10003678,"KINGSTON UNIVERSITY","(L3.18) Sports Science","First degree","Full-time",58%,0%,0%,18%,24%,
10003678,"KINGSTON UNIVERSITY","(L3.18) Sports Science","Other undergraduate","Full-time",60%,0%,0%,5%,30%,
10003678,"KINGSTON UNIVERSITY","(L3.19) Psychology","First degree","Full-time",83%,0%,6%,7%,4%,
10003678,"KINGSTON UNIVERSITY","(L3.27) Forensic and Archaeological Science","First degree","Full-time",95%,0%,0%,5%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",76%,1%,0%,15%,8%,
10003678,"KINGSTON UNIVERSITY","(L3.32) Mathematics and Statistics","First degree","Full-time",85%,0%,0%,0%,15%,
10003678,"KINGSTON UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",70%,11%,2%,7%,9%,
10003678,"KINGSTON UNIVERSITY","(L3.35) Computer Science","Postgraduate","Full-time",86%,4%,0%,9%,2%,
10003678,"KINGSTON UNIVERSITY","(L3.35) Computer Science","Postgraduate","Part-time",80%,0%,0%,0%,20%,
10003678,"KINGSTON UNIVERSITY","(L3.36) General Engineering","Other undergraduate","Full-time",0%,20%,0%,0%,80%,
10003678,"KINGSTON UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",63%,17%,12%,4%,4%,
10003678,"KINGSTON UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Part-time",5%,75%,15%,0%,5%,
10003678,"KINGSTON UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","Postgraduate","Full-time",90%,5%,0%,5%,5%,
10003678,"KINGSTON UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","Postgraduate","Part-time",75%,10%,0%,5%,10%,
10003678,"KINGSTON UNIVERSITY","(L3.38) Aerospace Engineering","First degree","Full-time",53%,23%,6%,12%,6%,
10003678,"KINGSTON UNIVERSITY","(L3.38) Aerospace Engineering","First degree","Part-time",59%,4%,1%,16%,20%,
10003678,"KINGSTON UNIVERSITY","(L3.38) Aerospace Engineering","Other undergraduate","Full-time",72%,21%,4%,2%,0%,
10003678,"KINGSTON UNIVERSITY","(L3.41) Civil Engineering","First degree","Full-time",77%,3%,5%,5%,11%,
10003678,"KINGSTON UNIVERSITY","(L3.41) Civil Engineering","First degree","Part-time",85%,0%,5%,0%,5%,
10003678,"KINGSTON UNIVERSITY","(L3.41) Civil Engineering","Postgraduate","Part-time",35%,0%,0%,30%,40%,
10003678,"KINGSTON UNIVERSITY","(L3.47) Architecture","First degree","Full-time",85%,1%,7%,3%,3%,
10003678,"KINGSTON UNIVERSITY","(L3.47) Architecture","Other undergraduate","Full-time",90%,0%,0%,0%,10%,
10003678,"KINGSTON UNIVERSITY","(L3.47) Architecture","Postgraduate","Full-time",20%,0%,0%,0%,80%,
10003678,"KINGSTON UNIVERSITY","(L3.48) Building","First degree","Full-time",79%,2%,0%,8%,11%,
