"UKPRN","Institution Name","Subject","Full-time","Part-time","Postgraduate","First Degree","Other Undergraduate","Two years aggregate data?"
10003200,"HULL COLLEGE"," (L3.98) Drama",100%,0%,0%,19%,81%,
10003200,"HULL COLLEGE"," (L3.99) Dance",79%,21%,0%,18%,82%,
10003200,"HULL COLLEGE"," (L3.100) Cinematics and Photography",87%,13%,0%,19%,81%,
10003200,"HULL COLLEGE"," (L3.102) Others in Creative Arts and Design",90%,10%,0%,60%,40%,
10003200,"HULL COLLEGE"," (L3.103) Teacher Training",0%,100%,97%,0%,3%,
10003200,"HULL COLLEGE"," (L3.105) Academic studies in Education",1%,99%,0%,18%,82%,
10003200,"HULL COLLEGE"," (L3.106) Others in Education",0%,100%,48%,10%,43%,
10003200,"HULL COLLEGE"," (L3.107) Combined",0%,100%,0%,0%,100%,
10003200,"HULL COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,44%,0%,56%,"Y"
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.01) Medicine",83%,17%,40%,60%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.03) Anatomy, Physiology and Pathology",100%,0%,100%,0%,0%,"Y"
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.10) Medical Technology",90%,10%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.11) Others in Subjects allied to Medicine",100%,0%,6%,94%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.12) Biology",98%,2%,40%,60%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.13) Zoology",100%,0%,33%,67%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.14) Genetics",100%,0%,100%,0%,0%,"Y"
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.15) Microbiology",100%,0%,20%,80%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.16) Molecular Biology, Biophysics and Biochemistry",97%,3%,26%,74%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",100%,0%,15%,85%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.25) Chemistry",100%,0%,34%,66%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.26) Physics and Astronomy",98%,2%,28%,72%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.28) Geology",97%,3%,46%,54%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.31) Physical Geography and Environmental Science",92%,8%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.32) Mathematics and Statistics",97%,3%,18%,82%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.35) Computer Science",95%,5%,34%,66%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.36) General Engineering",98%,2%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.37) Mechanical, Production and Manufacturing Engineering",97%,3%,23%,77%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.38) Aerospace Engineering",98%,2%,15%,85%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.40) Electronic and Electrical Engineering",97%,3%,32%,68%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.41) Civil Engineering",90%,10%,48%,52%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.42) Chemical, Process and Energy Engineering",97%,3%,37%,63%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.44) Materials and Minerals Technology",98%,2%,35%,65%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.46) Others in Technology",100%,0%,20%,80%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.61) Business studies",69%,31%,80%,20%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.65) Finance",79%,21%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.69) Media studies",100%,0%,100%,0%,0%,"Y"
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.74) Others in Mass Communications and Documentation",80%,20%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.86) Others in Linguistics, Classics and related subjects",57%,43%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.90) History",75%,25%,100%,0%,0%,
10003270,"IMPERIAL COLLEGE, LONDON"," (L3.105) Academic studies in Education",0%,100%,100%,0%,0%,"Y"
10003324,"INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE)"," (L3.01) Medicine",38%,63%,100%,0%,0%,
10003406,"ISLE OF WIGHT COLLEGE"," (L3.37) Mechanical, Production and Manufacturing Engineering",0%,100%,0%,0%,100%,"Y"
10003406,"ISLE OF WIGHT COLLEGE"," (L3.61) Business studies",30%,70%,0%,0%,100%,
10003406,"ISLE OF WIGHT COLLEGE"," (L3.96) Design studies",0%,100%,0%,0%,100%,
10003513,"JOSEPH PRIESTLEY COLLEGE"," (L3.103) Teacher Training",0%,100%,86%,4%,11%,
10003513,"JOSEPH PRIESTLEY COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,40%,0%,60%,
10003558,"KENDAL COLLEGE"," (L3.58) Social Work",90%,10%,0%,70%,30%,"Y"
10003558,"KENDAL COLLEGE"," (L3.61) Business studies",0%,100%,0%,0%,100%,
10003558,"KENDAL COLLEGE"," (L3.67) Tourism, Transport and Travel",0%,100%,0%,5%,95%,"Y"
10003558,"KENDAL COLLEGE"," (L3.105) Academic studies in Education",50%,50%,0%,0%,100%,
10003558,"KENDAL COLLEGE"," (L3.108) Initial Teacher Training",35%,65%,40%,0%,60%,
10003564,"KENSINGTON AND CHELSEA COLLEGE"," (L3.95) Fine Art",100%,0%,0%,0%,100%,
10003564,"KENSINGTON AND CHELSEA COLLEGE"," (L3.96) Design studies",85%,15%,0%,0%,100%,
10003564,"KENSINGTON AND CHELSEA COLLEGE"," (L3.108) Initial Teacher Training",22%,78%,0%,0%,100%,
10003602,"KIDDERMINSTER COLLEGE"," (L3.69) Media studies",95%,5%,0%,0%,100%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.05) Nursing",0%,100%,0%,1%,99%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.11) Others in Subjects allied to Medicine",0%,100%,20%,0%,85%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.18) Sports Science",89%,11%,0%,90%,10%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.19) Psychology",90%,10%,0%,97%,3%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.53) Politics",85%,15%,0%,80%,20%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.58) Social Work",74%,26%,5%,73%,22%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.60) Law",96%,4%,0%,99%,1%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.61) Business studies",90%,10%,100%,0%,0%,"Y"
10003614,"UNIVERSITY OF WINCHESTER"," (L3.62) Marketing",0%,100%,5%,0%,95%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.63) Management studies",63%,37%,8%,67%,25%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.67) Tourism, Transport and Travel",85%,15%,0%,83%,17%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.69) Media studies",95%,5%,1%,92%,7%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.73) Journalism",98%,2%,0%,97%,3%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.75) English studies",81%,19%,16%,74%,9%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.76) American and Australasian studies",68%,32%,12%,65%,23%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.90) History",88%,12%,10%,86%,4%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.91) Archaeology",84%,16%,15%,84%,1%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.94) Theology and Religious studies",39%,61%,30%,39%,31%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.98) Drama",94%,6%,5%,91%,4%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.99) Dance",97%,3%,0%,97%,3%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.101) Imaginative Writing",94%,6%,0%,97%,3%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.102) Others in Creative Arts and Design",5%,95%,35%,25%,40%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.103) Teacher Training",0%,100%,100%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.105) Academic studies in Education",33%,67%,31%,37%,32%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.106) Others in Education",0%,100%,100%,0%,0%,
10003614,"UNIVERSITY OF WINCHESTER"," (L3.108) Initial Teacher Training",93%,7%,13%,87%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.01) Medicine",78%,22%,41%,57%,1%,
10003645,"KING'S COLLEGE LONDON"," (L3.02) Dentistry",91%,9%,25%,75%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.03) Anatomy, Physiology and Pathology",96%,4%,13%,87%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.04) Pharmacology, Toxicology and Pharmacy",85%,15%,29%,71%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.05) Nursing",33%,67%,16%,21%,63%,
10003645,"KING'S COLLEGE LONDON"," (L3.07) Nutrition",96%,4%,36%,64%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.11) Others in Subjects allied to Medicine",39%,61%,79%,0%,21%,
10003645,"KING'S COLLEGE LONDON"," (L3.12) Biology",90%,10%,100%,0%,0%,"Y"
10003645,"KING'S COLLEGE LONDON"," (L3.14) Genetics",95%,5%,5%,95%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.16) Molecular Biology, Biophysics and Biochemistry",97%,3%,11%,89%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.19) Psychology",100%,0%,100%,0%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.26) Physics and Astronomy",97%,3%,13%,87%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.27) Forensic and Archaeological Science",100%,0%,100%,0%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.31) Physical Geography and Environmental Science",88%,12%,41%,59%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.32) Mathematics and Statistics",89%,11%,23%,74%,2%,
10003645,"KING'S COLLEGE LONDON"," (L3.35) Computer Science",90%,10%,26%,73%,1%,
10003645,"KING'S COLLEGE LONDON"," (L3.37) Mechanical, Production and Manufacturing Engineering",98%,2%,30%,70%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.40) Electronic and Electrical Engineering",94%,6%,34%,66%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.53) Politics",82%,18%,84%,16%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.55) Social Policy",55%,45%,100%,0%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.57) Others in Social studies",85%,15%,95%,5%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.59) Human and Social Geography",89%,11%,51%,49%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.60) Law",79%,21%,47%,53%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.63) Management studies",92%,8%,36%,64%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.69) Media studies",92%,8%,32%,68%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.70) Information Services",65%,40%,95%,5%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.74) Others in Mass Communications and Documentation",89%,11%,100%,0%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.75) English studies",94%,6%,27%,52%,21%,
10003645,"KING'S COLLEGE LONDON"," (L3.76) American and Australasian studies",92%,8%,31%,69%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.78) Classics",94%,6%,19%,79%,1%,
10003645,"KING'S COLLEGE LONDON"," (L3.79) French studies",93%,7%,17%,83%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.80) German and Scandinavian studies",99%,1%,0%,100%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.82) Iberian studies",89%,11%,19%,81%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.83) Others in European Languages and Area studies",94%,6%,27%,73%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.84) Linguistics",81%,19%,36%,64%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.85) Comparative Literary studies",97%,3%,21%,79%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.90) History",88%,12%,32%,68%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.93) Philosophy",87%,13%,32%,68%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.94) Theology and Religious studies",68%,32%,40%,56%,4%,
10003645,"KING'S COLLEGE LONDON"," (L3.97) Music",91%,9%,31%,69%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.98) Drama",75%,25%,100%,0%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.105) Academic studies in Education",34%,66%,98%,2%,0%,
10003645,"KING'S COLLEGE LONDON"," (L3.106) Others in Education",1%,99%,75%,0%,25%,
10003645,"KING'S COLLEGE LONDON"," (L3.108) Initial Teacher Training",100%,0%,97%,0%,3%,
10003674,"KINGSTON COLLEGE"," (L3.04) Pharmacology, Toxicology and Pharmacy",95%,5%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.07) Nutrition",100%,0%,0%,100%,0%,"Y"
10003674,"KINGSTON COLLEGE"," (L3.11) Others in Subjects allied to Medicine",100%,0%,0%,0%,100%,
10003674,"KINGSTON COLLEGE"," (L3.12) Biology",92%,8%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.16) Molecular Biology, Biophysics and Biochemistry",90%,10%,0%,100%,0%,"Y"
10003674,"KINGSTON COLLEGE"," (L3.18) Sports Science",75%,25%,0%,35%,65%,
10003674,"KINGSTON COLLEGE"," (L3.27) Forensic and Archaeological Science",90%,10%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.32) Mathematics and Statistics",88%,12%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.35) Computer Science",62%,38%,0%,26%,74%,
10003674,"KINGSTON COLLEGE"," (L3.37) Mechanical, Production and Manufacturing Engineering",75%,25%,0%,5%,95%,
10003674,"KINGSTON COLLEGE"," (L3.40) Electronic and Electrical Engineering",0%,100%,0%,0%,100%,
10003674,"KINGSTON COLLEGE"," (L3.61) Business studies",89%,11%,0%,71%,29%,
10003674,"KINGSTON COLLEGE"," (L3.68) Others in Business and Administrative studies",10%,90%,0%,10%,90%,"Y"
10003674,"KINGSTON COLLEGE"," (L3.70) Information Services",88%,12%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.96) Design studies",96%,4%,0%,100%,0%,"Y"
10003674,"KINGSTON COLLEGE"," (L3.97) Music",78%,22%,0%,100%,0%,"Y"
10003674,"KINGSTON COLLEGE"," (L3.98) Drama",99%,1%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.100) Cinematics and Photography",10%,90%,0%,10%,90%,"Y"
10003674,"KINGSTON COLLEGE"," (L3.102) Others in Creative Arts and Design",100%,0%,0%,100%,0%,
10003674,"KINGSTON COLLEGE"," (L3.105) Academic studies in Education",100%,0%,0%,1%,99%,
10003674,"KINGSTON COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10003676,"KINGSTON MAURWARD COLLEGE"," (L3.21) Animal Science",100%,0%,0%,15%,85%,
10003676,"KINGSTON MAURWARD COLLEGE"," (L3.63) Management studies",95%,5%,0%,0%,100%,
10003678,"KINGSTON UNIVERSITY"," (L3.03) Anatomy, Physiology and Pathology",100%,0%,0%,100%,0%,"Y"
10003678,"KINGSTON UNIVERSITY"," (L3.04) Pharmacology, Toxicology and Pharmacy",92%,8%,23%,77%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.05) Nursing",81%,19%,3%,27%,70%,
10003678,"KINGSTON UNIVERSITY"," (L3.07) Nutrition",71%,29%,0%,100%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.10) Medical Technology",16%,84%,84%,0%,16%,
10003678,"KINGSTON UNIVERSITY"," (L3.11) Others in Subjects allied to Medicine",53%,47%,92%,8%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.12) Biology",82%,18%,20%,79%,1%,
10003678,"KINGSTON UNIVERSITY"," (L3.16) Molecular Biology, Biophysics and Biochemistry",85%,15%,0%,100%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.17) Others in Biological Sciences",95%,5%,0%,100%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.18) Sports Science",92%,8%,7%,80%,13%,
10003678,"KINGSTON UNIVERSITY"," (L3.19) Psychology",93%,7%,10%,90%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.25) Chemistry",86%,14%,33%,53%,14%,
10003678,"KINGSTON UNIVERSITY"," (L3.26) Physics and Astronomy",100%,0%,0%,35%,65%,
10003678,"KINGSTON UNIVERSITY"," (L3.27) Forensic and Archaeological Science",90%,10%,17%,83%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.28) Geology",77%,23%,52%,48%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.31) Physical Geography and Environmental Science",85%,15%,13%,87%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.32) Mathematics and Statistics",92%,8%,1%,99%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.35) Computer Science",83%,17%,20%,79%,2%,
10003678,"KINGSTON UNIVERSITY"," (L3.36) General Engineering",78%,22%,99%,0%,1%,
10003678,"KINGSTON UNIVERSITY"," (L3.37) Mechanical, Production and Manufacturing Engineering",72%,28%,34%,62%,5%,
10003678,"KINGSTON UNIVERSITY"," (L3.38) Aerospace Engineering",84%,16%,6%,43%,51%,
10003678,"KINGSTON UNIVERSITY"," (L3.40) Electronic and Electrical Engineering",60%,40%,80%,20%,0%,"Y"
10003678,"KINGSTON UNIVERSITY"," (L3.41) Civil Engineering",71%,29%,18%,79%,3%,
10003678,"KINGSTON UNIVERSITY"," (L3.44) Materials and Minerals Technology",70%,30%,60%,40%,0%,"Y"
10003678,"KINGSTON UNIVERSITY"," (L3.47) Architecture",63%,37%,31%,54%,15%,
10003678,"KINGSTON UNIVERSITY"," (L3.48) Building",52%,48%,28%,72%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.49) Landscape Design",92%,8%,28%,72%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.50) Planning (Urban, Rural and Regional)",69%,31%,30%,70%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.52) Economics",87%,13%,14%,86%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.53) Politics",85%,15%,41%,59%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.54) Sociology",94%,6%,1%,99%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.58) Social Work",32%,68%,69%,30%,1%,
10003678,"KINGSTON UNIVERSITY"," (L3.59) Human and Social Geography",85%,15%,35%,65%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.60) Law",86%,14%,10%,83%,7%,
10003678,"KINGSTON UNIVERSITY"," (L3.61) Business studies",78%,22%,29%,71%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.62) Marketing",80%,20%,57%,43%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.63) Management studies",3%,97%,82%,0%,18%,
10003678,"KINGSTON UNIVERSITY"," (L3.64) Human Resource Management",35%,65%,82%,18%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.66) Accounting",86%,14%,29%,71%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.68) Others in Business and Administrative studies",67%,33%,30%,63%,6%,
10003678,"KINGSTON UNIVERSITY"," (L3.69) Media studies",90%,10%,8%,92%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.70) Information Services",63%,37%,97%,3%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.72) Publishing",70%,30%,100%,0%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.73) Journalism",92%,8%,26%,74%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.75) English studies",83%,17%,19%,77%,4%,
10003678,"KINGSTON UNIVERSITY"," (L3.79) French studies",85%,15%,0%,100%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.90) History",84%,16%,14%,86%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.95) Fine Art",97%,3%,6%,94%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.96) Design studies",94%,6%,22%,78%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.97) Music",88%,12%,22%,78%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.98) Drama",98%,2%,0%,100%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.99) Dance",96%,4%,0%,100%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.100) Cinematics and Photography",92%,8%,14%,86%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.101) Imaginative Writing",72%,28%,42%,58%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.105) Academic studies in Education",28%,72%,75%,12%,13%,
10003678,"KINGSTON UNIVERSITY"," (L3.107) Combined",87%,13%,100%,0%,0%,
10003678,"KINGSTON UNIVERSITY"," (L3.108) Initial Teacher Training",98%,2%,47%,53%,0%,
10003708,"KNOWSLEY COMMUNITY COLLEGE"," (L3.05) Nursing",100%,0%,0%,0%,100%,
10003708,"KNOWSLEY COMMUNITY COLLEGE"," (L3.35) Computer Science",70%,30%,0%,0%,100%,
10003708,"KNOWSLEY COMMUNITY COLLEGE"," (L3.61) Business studies",30%,70%,0%,0%,100%,"Y"
10003708,"KNOWSLEY COMMUNITY COLLEGE"," (L3.63) Management studies",30%,70%,0%,0%,100%,"Y"
10003708,"KNOWSLEY COMMUNITY COLLEGE"," (L3.67) Tourism, Transport and Travel",95%,5%,0%,0%,100%,"Y"
10003708,"KNOWSLEY COMMUNITY COLLEGE"," (L3.105) Academic studies in Education",0%,100%,0%,0%,100%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.25) Chemistry",0%,100%,0%,0%,100%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.36) General Engineering",0%,100%,0%,0%,100%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.37) Mechanical, Production and Manufacturing Engineering",0%,100%,0%,65%,35%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.40) Electronic and Electrical Engineering",0%,100%,0%,0%,100%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.61) Business studies",25%,75%,0%,0%,100%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.103) Teacher Training",0%,100%,0%,0%,100%,
10003753,"LAKES COLLEGE WEST CUMBRIA"," (L3.105) Academic studies in Education",65%,35%,0%,0%,100%,
10003755,"LAMBETH COLLEGE"," (L3.10) Medical Technology",36%,64%,0%,0%,100%,
10003755,"LAMBETH COLLEGE"," (L3.50) Planning (Urban, Rural and Regional)",75%,25%,0%,0%,100%,
10003755,"LAMBETH COLLEGE"," (L3.66) Accounting",0%,100%,0%,5%,95%,
10003755,"LAMBETH COLLEGE"," (L3.108) Initial Teacher Training",32%,68%,0%,0%,100%,
10003768,"LANCASTER AND MORECAMBE COLLEGE"," (L3.103) Teacher Training",40%,60%,0%,0%,100%,
10003768,"LANCASTER AND MORECAMBE COLLEGE"," (L3.108) Initial Teacher Training",27%,73%,26%,0%,74%,
10003854,"LEEDS COLLEGE OF ART"," (L3.44) Materials and Minerals Technology",0%,100%,0%,0%,100%,"Y"
10003854,"LEEDS COLLEGE OF ART"," (L3.62) Marketing",100%,0%,0%,24%,76%,
10003854,"LEEDS COLLEGE OF ART"," (L3.95) Fine Art",84%,16%,0%,100%,0%,
10003854,"LEEDS COLLEGE OF ART"," (L3.96) Design studies",100%,0%,0%,94%,6%,
10003854,"LEEDS COLLEGE OF ART"," (L3.100) Cinematics and Photography",100%,0%,0%,23%,77%,
10003854,"LEEDS COLLEGE OF ART"," (L3.102) Others in Creative Arts and Design",100%,0%,0%,91%,9%,
10003855,"LEEDS COLLEGE OF BUILDING"," (L3.48) Building",0%,100%,0%,0%,100%,
10003856,"LEEDS COLLEGE OF MUSIC"," (L3.97) Music",98%,2%,6%,83%,11%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.03) Anatomy, Physiology and Pathology",99%,1%,19%,81%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.05) Nursing",21%,79%,21%,29%,49%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.06) Complementary Medicine",84%,16%,5%,95%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.07) Nutrition",95%,5%,23%,77%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.09) Aural and Oral Sciences",91%,9%,7%,93%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.11) Others in Subjects allied to Medicine",46%,54%,30%,47%,23%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.12) Biology",90%,10%,0%,100%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.16) Molecular Biology, Biophysics and Biochemistry",90%,10%,0%,10%,90%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.17) Others in Biological Sciences",89%,11%,0%,99%,1%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.18) Sports Science",86%,14%,15%,81%,5%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.19) Psychology",81%,19%,22%,78%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.27) Forensic and Archaeological Science",100%,0%,0%,100%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.35) Computer Science",93%,7%,13%,75%,12%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.36) General Engineering",22%,78%,84%,16%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.37) Mechanical, Production and Manufacturing Engineering",0%,100%,100%,0%,0%,"Y"
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.40) Electronic and Electrical Engineering",45%,55%,0%,0%,100%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.41) Civil Engineering",36%,64%,0%,60%,40%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.46) Others in Technology",96%,4%,8%,89%,3%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.47) Architecture",66%,34%,29%,65%,6%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.48) Building",41%,59%,8%,64%,29%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.49) Landscape Design",52%,48%,26%,49%,25%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.50) Planning (Urban, Rural and Regional)",23%,77%,29%,24%,48%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.52) Economics",93%,7%,8%,92%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.53) Politics",91%,9%,15%,85%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.54) Sociology",89%,11%,9%,91%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.55) Social Policy",44%,56%,72%,28%,0%,
10003861,"LEEDS METROPOLITAN UNIVERSITY"," (L3.56) Anthropology",70%,30%,100%,0%,0%,
