"UKPRN","Institution","Subject","Destination","Postgraduate","Two years aggregate data (Postgraduate/Full-time)?","First degree","Two years aggregate data (First degree/Full-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Full-time)?","Postgraduate","Two years aggregate data (Postgraduate/Part-time)?","First degree","Two years aggregate data (First degree/Part-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Part-time)?"
10001726,"COVENTRY UNIVERSITY","(L3.69) Media studies","Working Only",0%,,64%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.69) Media studies","Studying Only",0%,,6%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.69) Media studies","Working & Studying",0%,,7%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.69) Media studies","Assumed to be unemployed",0%,,21%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.69) Media studies","Not available for work or study",0%,,2%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.75) English studies","Working Only",0%,,40%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.75) English studies","Studying Only",0%,,25%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.75) English studies","Working & Studying",0%,,15%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.75) English studies","Assumed to be unemployed",0%,,15%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.75) English studies","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.90) History","Working Only",0%,,35%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.90) History","Studying Only",0%,,45%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.90) History","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.90) History","Assumed to be unemployed",0%,,5%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.90) History","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.95) Fine Art","Working Only",0%,,70%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.95) Fine Art","Studying Only",0%,,10%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.95) Fine Art","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.95) Fine Art","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.95) Fine Art","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.96) Design studies","Working Only",0%,,58%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.96) Design studies","Studying Only",0%,,11%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.96) Design studies","Working & Studying",0%,,4%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.96) Design studies","Assumed to be unemployed",0%,,22%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.96) Design studies","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.97) Music","Working Only",0%,,50%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.97) Music","Studying Only",0%,,35%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.97) Music","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.97) Music","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.98) Drama","Working Only",0%,,65%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.98) Drama","Studying Only",0%,,25%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.98) Drama","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.98) Drama","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.99) Dance","Working Only",0%,,55%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.99) Dance","Studying Only",0%,,20%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.99) Dance","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.99) Dance","Assumed to be unemployed",0%,,5%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.99) Dance","Not available for work or study",0%,,10%,"Y",0%,,0%,,0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.105) Academic studies in Education","Working Only",0%,,0%,,0%,,95%,"Y",0%,,0%,
10001726,"COVENTRY UNIVERSITY","(L3.105) Academic studies in Education","Working & Studying",0%,,0%,,0%,,5%,"Y",0%,,0%,
10001778,"CROYDON COLLEGE","(L3.106) Others in Education","Working Only",0%,,0%,,0%,,0%,,0%,,65%,
10001778,"CROYDON COLLEGE","(L3.106) Others in Education","Working & Studying",0%,,0%,,0%,,0%,,0%,,30%,
10001778,"CROYDON COLLEGE","(L3.106) Others in Education","Assumed to be unemployed",0%,,0%,,0%,,0%,,0%,,5%,
10001850,"DARLINGTON COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Working Only",0%,,0%,,0%,,0%,,0%,,65%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Studying Only",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Working & Studying",0%,,0%,,0%,,0%,,0%,,25%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.48) Building","Working Only",0%,,0%,,0%,,0%,,0%,,70%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.48) Building","Studying Only",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.48) Building","Working & Studying",0%,,0%,,0%,,0%,,0%,,15%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.48) Building","Assumed to be unemployed",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.105) Academic studies in Education","Working Only",0%,,0%,,0%,,0%,,0%,,40%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.105) Academic studies in Education","Working & Studying",0%,,0%,,0%,,0%,,0%,,55%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.105) Academic studies in Education","Assumed to be unemployed",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.108) Initial Teacher Training","Working Only",0%,,0%,,0%,,0%,,0%,,65%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.108) Initial Teacher Training","Studying Only",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.108) Initial Teacher Training","Working & Studying",0%,,0%,,0%,,0%,,0%,,20%,"Y"
10001850,"DARLINGTON COLLEGE","(L3.108) Initial Teacher Training","Not available for work or study",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","Working Only",0%,,63%,,50%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","Studying Only",0%,,9%,,30%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","Working & Studying",0%,,20%,,5%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","Assumed to be unemployed",0%,,5%,,5%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.04) Pharmacology, Toxicology and Pharmacy","Not available for work or study",0%,,3%,,10%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.05) Nursing","Working Only",0%,,90%,"Y",89%,,0%,,85%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.05) Nursing","Studying Only",0%,,0%,,3%,,0%,,1%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.05) Nursing","Working & Studying",0%,,0%,"Y",6%,,0%,,12%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.05) Nursing","Assumed to be unemployed",0%,,5%,"Y",1%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.05) Nursing","Not available for work or study",0%,,5%,"Y",1%,,0%,,1%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.09) Aural and Oral Sciences","Working Only",0%,,85%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.09) Aural and Oral Sciences","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.09) Aural and Oral Sciences","Assumed to be unemployed",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.09) Aural and Oral Sciences","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Working Only",0%,,56%,,0%,,0%,,95%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Studying Only",0%,,15%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Working & Studying",0%,,7%,,0%,,0%,,5%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Assumed to be unemployed",0%,,17%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Not available for work or study",0%,,5%,,0%,,0%,,5%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.19) Psychology","Working Only",0%,,50%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.19) Psychology","Studying Only",0%,,16%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.19) Psychology","Working & Studying",0%,,16%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.19) Psychology","Assumed to be unemployed",0%,,12%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.19) Psychology","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.27) Forensic and Archaeological Science","Working Only",0%,,65%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.27) Forensic and Archaeological Science","Studying Only",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.27) Forensic and Archaeological Science","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.27) Forensic and Archaeological Science","Assumed to be unemployed",0%,,15%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.27) Forensic and Archaeological Science","Not available for work or study",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.35) Computer Science","Working Only",0%,,62%,,25%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.35) Computer Science","Studying Only",0%,,12%,,50%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.35) Computer Science","Working & Studying",0%,,4%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.35) Computer Science","Assumed to be unemployed",0%,,18%,,15%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.35) Computer Science","Not available for work or study",0%,,4%,,10%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Working Only",0%,,55%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Studying Only",0%,,25%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Assumed to be unemployed",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Not available for work or study",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.44) Materials and Minerals Technology","Working Only",0%,,80%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.44) Materials and Minerals Technology","Studying Only",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.44) Materials and Minerals Technology","Assumed to be unemployed",0%,,15%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.44) Materials and Minerals Technology","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.46) Others in Technology","Working Only",0%,,80%,,40%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.46) Others in Technology","Studying Only",0%,,5%,,30%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.46) Others in Technology","Working & Studying",0%,,5%,,15%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.46) Others in Technology","Assumed to be unemployed",0%,,15%,,5%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.46) Others in Technology","Not available for work or study",0%,,0%,,10%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.47) Architecture","Working Only",0%,,32%,,40%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.47) Architecture","Studying Only",0%,,34%,,15%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.47) Architecture","Working & Studying",0%,,19%,,20%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.47) Architecture","Assumed to be unemployed",0%,,15%,,20%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.47) Architecture","Not available for work or study",0%,,0%,,5%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Working Only",0%,,0%,,0%,,75%,"Y",0%,,75%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Studying Only",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Working & Studying",0%,,0%,,0%,,20%,"Y",0%,,20%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Assumed to be unemployed",0%,,0%,,0%,,5%,"Y",0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.53) Politics","Working Only",0%,,50%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.53) Politics","Studying Only",0%,,20%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.53) Politics","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.53) Politics","Assumed to be unemployed",0%,,15%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.53) Politics","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.55) Social Policy","Working Only",0%,,0%,,96%,,0%,,0%,,75%,
10001883,"DE MONTFORT UNIVERSITY","(L3.55) Social Policy","Studying Only",0%,,0%,,0%,,0%,,0%,,5%,
10001883,"DE MONTFORT UNIVERSITY","(L3.55) Social Policy","Working & Studying",0%,,0%,,1%,,0%,,0%,,20%,
10001883,"DE MONTFORT UNIVERSITY","(L3.55) Social Policy","Not available for work or study",0%,,0%,,3%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.58) Social Work","Working Only",0%,,89%,,80%,"Y",70%,,0%,,90%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.58) Social Work","Studying Only",0%,,1%,,15%,"Y",10%,,0%,,10%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.58) Social Work","Working & Studying",0%,,3%,,0%,,15%,,0%,,5%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.58) Social Work","Assumed to be unemployed",0%,,4%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.58) Social Work","Not available for work or study",0%,,2%,,5%,"Y",5%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.60) Law","Working Only",68%,"Y",39%,,15%,,85%,,55%,"Y",25%,
10001883,"DE MONTFORT UNIVERSITY","(L3.60) Law","Studying Only",9%,"Y",31%,,70%,,0%,,20%,"Y",20%,
10001883,"DE MONTFORT UNIVERSITY","(L3.60) Law","Working & Studying",12%,"Y",11%,,5%,,10%,,25%,"Y",55%,
10001883,"DE MONTFORT UNIVERSITY","(L3.60) Law","Assumed to be unemployed",9%,"Y",12%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.60) Law","Not available for work or study",2%,"Y",7%,,5%,,5%,,5%,"Y",5%,
10001883,"DE MONTFORT UNIVERSITY","(L3.61) Business studies","Working Only",0%,,59%,,0%,,87%,,80%,"Y",30%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.61) Business studies","Studying Only",0%,,15%,,0%,,0%,,0%,,15%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.61) Business studies","Working & Studying",0%,,6%,,0%,,7%,,10%,"Y",50%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.61) Business studies","Assumed to be unemployed",0%,,14%,,0%,,0%,,5%,"Y",5%,"Y"
10001883,"DE MONTFORT UNIVERSITY","(L3.61) Business studies","Not available for work or study",0%,,6%,,0%,,6%,,0%,"Y",0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.62) Marketing","Working Only",0%,,62%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.62) Marketing","Studying Only",0%,,18%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.62) Marketing","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.62) Marketing","Assumed to be unemployed",0%,,13%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.62) Marketing","Not available for work or study",0%,,3%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.63) Management studies","Working Only",0%,,65%,"Y",0%,,83%,,0%,,45%,
10001883,"DE MONTFORT UNIVERSITY","(L3.63) Management studies","Studying Only",0%,,15%,"Y",0%,,0%,,0%,,5%,
10001883,"DE MONTFORT UNIVERSITY","(L3.63) Management studies","Working & Studying",0%,,5%,"Y",0%,,14%,,0%,,45%,
10001883,"DE MONTFORT UNIVERSITY","(L3.63) Management studies","Assumed to be unemployed",0%,,15%,"Y",0%,,1%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.63) Management studies","Not available for work or study",0%,,0%,"Y",0%,,2%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.64) Human Resource Management","Working Only",0%,,55%,"Y",0%,,91%,"Y",0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.64) Human Resource Management","Studying Only",0%,,25%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.64) Human Resource Management","Working & Studying",0%,,10%,"Y",0%,,6%,"Y",0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.64) Human Resource Management","Assumed to be unemployed",0%,,10%,"Y",0%,,2%,"Y",0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.64) Human Resource Management","Not available for work or study",0%,,5%,"Y",0%,,2%,"Y",0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.65) Finance","Working Only",0%,,35%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.65) Finance","Studying Only",0%,,25%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.65) Finance","Working & Studying",0%,,15%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.65) Finance","Assumed to be unemployed",0%,,20%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.65) Finance","Not available for work or study",0%,,0%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.66) Accounting","Working Only",0%,,38%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.66) Accounting","Studying Only",0%,,22%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.66) Accounting","Working & Studying",0%,,18%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.66) Accounting","Assumed to be unemployed",0%,,20%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.66) Accounting","Not available for work or study",0%,,2%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.69) Media studies","Working Only",0%,,65%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.69) Media studies","Studying Only",0%,,9%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.69) Media studies","Working & Studying",0%,,7%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.69) Media studies","Assumed to be unemployed",0%,,15%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.69) Media studies","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.73) Journalism","Working Only",0%,,65%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.73) Journalism","Studying Only",0%,,15%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.73) Journalism","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.73) Journalism","Assumed to be unemployed",0%,,10%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.73) Journalism","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.75) English studies","Working Only",0%,,61%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.75) English studies","Studying Only",0%,,18%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.75) English studies","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.75) English studies","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.75) English studies","Not available for work or study",0%,,7%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.90) History","Working Only",0%,,60%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.90) History","Studying Only",0%,,18%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.90) History","Working & Studying",0%,,7%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.90) History","Assumed to be unemployed",0%,,7%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.90) History","Not available for work or study",0%,,7%,"Y",0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.95) Fine Art","Working Only",0%,,50%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.95) Fine Art","Studying Only",0%,,20%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.95) Fine Art","Working & Studying",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.95) Fine Art","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.95) Fine Art","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.96) Design studies","Working Only",0%,,74%,,45%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.96) Design studies","Studying Only",0%,,4%,,30%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.96) Design studies","Working & Studying",0%,,5%,,10%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.96) Design studies","Assumed to be unemployed",0%,,13%,,5%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.96) Design studies","Not available for work or study",0%,,4%,,10%,"Y",0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.97) Music","Working Only",0%,,45%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.97) Music","Studying Only",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.97) Music","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.97) Music","Assumed to be unemployed",0%,,40%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.97) Music","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.98) Drama","Working Only",0%,,68%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.98) Drama","Studying Only",0%,,13%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.98) Drama","Working & Studying",0%,,9%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.98) Drama","Assumed to be unemployed",0%,,9%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.98) Drama","Not available for work or study",0%,,1%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.99) Dance","Working Only",0%,,60%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.99) Dance","Studying Only",0%,,20%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.99) Dance","Working & Studying",0%,,10%,,0%,,0%,,0%,,0%,
10001883,"DE MONTFORT UNIVERSITY","(L3.99) Dance","Assumed to be unemployed",0%,,5%,,0%,,0%,,0%,,0%,
