"UKPRN","Institution","Subject","Job Category","Postgraduate","Two years aggregate data (Postgraduate/Full-time)?","First degree","Two years aggregate data (First degree/Full-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Full-time)?","Postgraduate","Two years aggregate data (Postgraduate/Part-time)?","First degree","Two years aggregate data (First degree/Part-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Part-time)?"
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.19) Psychology","Graduate job",100%,"Y",45%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.19) Psychology","Non-graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.28) Geology","Graduate job",95%,"Y",70%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.28) Geology","Non-graduate job",5%,"Y",30%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.31) Physical Geography and Environmental Science","Graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.31) Physical Geography and Environmental Science","Non-graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.32) Mathematics and Statistics","Graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.32) Mathematics and Statistics","Non-graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.35) Computer Science","Graduate job",90%,"Y",0%,,0%,,95%,"Y",0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.35) Computer Science","Non-graduate job",10%,"Y",0%,,0%,,5%,"Y",0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.52) Economics","Graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.52) Economics","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.53) Politics","Graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.53) Politics","Non-graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.58) Social Work","Graduate job",95%,,90%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.58) Social Work","Non-graduate job",5%,,10%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.59) Human and Social Geography","Graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.59) Human and Social Geography","Non-graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.61) Business studies","Graduate job",80%,"Y",0%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.61) Business studies","Non-graduate job",20%,"Y",0%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.63) Management studies","Graduate job",0%,,56%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.63) Management studies","Non-graduate job",0%,,44%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.69) Media studies","Graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.69) Media studies","Non-graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.75) English studies","Graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.75) English studies","Non-graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.78) Classics","Graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.78) Classics","Non-graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.79) French studies","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.79) French studies","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.90) History","Graduate job",50%,"Y",55%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.90) History","Non-graduate job",50%,"Y",45%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.97) Music","Graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.97) Music","Non-graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.98) Drama","Graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.98) Drama","Non-graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.100) Cinematics and Photography","Graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.100) Cinematics and Photography","Non-graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.101) Imaginative Writing","Graduate job",0%,,0%,,0%,,85%,"Y",0%,,0%,
10005553,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","(L3.101) Imaginative Writing","Non-graduate job",0%,,0%,,0%,,15%,"Y",0%,,0%,
10005561,"THE ROYAL SCOTTISH ACADEMY OF MUSIC AND DRAMA","(L3.97) Music","Graduate job",0%,,80%,"Y",0%,,0%,,0%,,0%,
10005561,"THE ROYAL SCOTTISH ACADEMY OF MUSIC AND DRAMA","(L3.97) Music","Non-graduate job",0%,,20%,"Y",0%,,0%,,0%,,0%,
10005561,"THE ROYAL SCOTTISH ACADEMY OF MUSIC AND DRAMA","(L3.98) Drama","Graduate job",0%,,85%,,0%,,0%,,0%,,0%,
10005561,"THE ROYAL SCOTTISH ACADEMY OF MUSIC AND DRAMA","(L3.98) Drama","Non-graduate job",0%,,15%,,0%,,0%,,0%,,0%,
10005561,"THE ROYAL SCOTTISH ACADEMY OF MUSIC AND DRAMA","(L3.108) Initial Teacher Training","Graduate job",0%,,100%,"Y",0%,,0%,,0%,,0%,
10005700,"THE SCOTTISH AGRICULTURAL COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Graduate job",0%,,25%,"Y",0%,,90%,"Y",0%,,0%,
10005700,"THE SCOTTISH AGRICULTURAL COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Non-graduate job",0%,,75%,"Y",0%,,10%,"Y",0%,,0%,
10005700,"THE SCOTTISH AGRICULTURAL COLLEGE","(L3.31) Physical Geography and Environmental Science","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10005700,"THE SCOTTISH AGRICULTURAL COLLEGE","(L3.31) Physical Geography and Environmental Science","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","Graduate job",0%,,85%,,0%,,0%,,90%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","Non-graduate job",0%,,15%,,0%,,0%,,10%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.05) Nursing","Graduate job",0%,,100%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.05) Nursing","Non-graduate job",0%,,0%,,100%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.07) Nutrition","Graduate job",0%,,60%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.07) Nutrition","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.07) Nutrition","Unknown",0%,,0%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.10) Medical Technology","Graduate job",0%,,100%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Graduate job",0%,,95%,,0%,,98%,,95%,"Y",80%,"Y"
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Non-graduate job",0%,,5%,,0%,,2%,,0%,,20%,"Y"
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Unknown",0%,,0%,,0%,,0%,,5%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.12) Biology","Graduate job",0%,,60%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.12) Biology","Non-graduate job",0%,,40%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.18) Sports Science","Graduate job",0%,,68%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.18) Sports Science","Non-graduate job",0%,,32%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.19) Psychology","Graduate job",0%,,37%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.19) Psychology","Non-graduate job",0%,,62%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.19) Psychology","Unknown",0%,,1%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.23) Food and Beverage studies","Graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.23) Food and Beverage studies","Non-graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.23) Food and Beverage studies","Unknown",0%,,0%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.32) Mathematics and Statistics","Graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.32) Mathematics and Statistics","Non-graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.35) Computer Science","Graduate job",0%,,57%,,0%,,0%,,65%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.35) Computer Science","Non-graduate job",0%,,42%,,0%,,0%,,40%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.35) Computer Science","Unknown",0%,,1%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","Graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Non-graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.46) Others in Technology","Graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.46) Others in Technology","Non-graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.47) Architecture","Graduate job",0%,,70%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.47) Architecture","Non-graduate job",0%,,25%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.47) Architecture","Unknown",0%,,0%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.48) Building","Graduate job",0%,,81%,,0%,,0%,,98%,,95%,"Y"
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.48) Building","Non-graduate job",0%,,19%,,0%,,0%,,2%,,5%,"Y"
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Graduate job",0%,,65%,,0%,,95%,,100%,"Y",90%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Non-graduate job",0%,,35%,,0%,,5%,,0%,,10%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Unknown",0%,,0%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.54) Sociology","Graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.54) Sociology","Non-graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.55) Social Policy","Graduate job",0%,,30%,,0%,,95%,"Y",0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.55) Social Policy","Non-graduate job",0%,,70%,,0%,,5%,"Y",0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.58) Social Work","Graduate job",0%,,95%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.58) Social Work","Non-graduate job",0%,,5%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.59) Human and Social Geography","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.59) Human and Social Geography","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.60) Law","Graduate job",0%,,50%,,0%,,0%,,65%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.60) Law","Non-graduate job",0%,,50%,,0%,,0%,,35%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.60) Law","Unknown",0%,,0%,,0%,,0%,,0%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.61) Business studies","Graduate job",0%,,58%,,0%,,0%,,75%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.61) Business studies","Non-graduate job",0%,,40%,,0%,,0%,,25%,"Y",0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.61) Business studies","Unknown",0%,,1%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.62) Marketing","Graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.62) Marketing","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.63) Management studies","Graduate job",0%,,0%,,0%,,100%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.64) Human Resource Management","Graduate job",0%,,80%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.64) Human Resource Management","Non-graduate job",0%,,20%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.64) Human Resource Management","Unknown",0%,,0%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.65) Finance","Graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.65) Finance","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.65) Finance","Unknown",0%,,0%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.66) Accounting","Graduate job",0%,,70%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.66) Accounting","Non-graduate job",0%,,30%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.66) Accounting","Unknown",0%,,0%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.67) Tourism, Transport and Travel","Graduate job",0%,,42%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.67) Tourism, Transport and Travel","Non-graduate job",0%,,57%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.67) Tourism, Transport and Travel","Unknown",0%,,1%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.69) Media studies","Graduate job",0%,,32%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.69) Media studies","Non-graduate job",0%,,66%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.69) Media studies","Unknown",0%,,2%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.74) Others in Mass Communications and Documentation","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.74) Others in Mass Communications and Documentation","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.74) Others in Mass Communications and Documentation","Unknown",0%,,5%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.75) English studies","Graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.75) English studies","Non-graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.90) History","Graduate job",0%,,30%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.90) History","Non-graduate job",0%,,70%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.95) Fine Art","Graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.95) Fine Art","Non-graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.96) Design studies","Graduate job",0%,,56%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.96) Design studies","Non-graduate job",0%,,44%,,0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.98) Drama","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.98) Drama","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.98) Drama","Unknown",0%,,5%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.100) Cinematics and Photography","Graduate job",0%,,30%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.100) Cinematics and Photography","Non-graduate job",0%,,70%,"Y",0%,,0%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.103) Teacher Training","Graduate job",0%,,0%,,0%,,97%,,0%,,100%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.103) Teacher Training","Non-graduate job",0%,,0%,,0%,,3%,,0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.104) Research and Study Skills in Education","Graduate job",0%,,0%,,0%,,95%,"Y",0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.104) Research and Study Skills in Education","Non-graduate job",0%,,0%,,0%,,5%,"Y",0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.105) Academic studies in Education","Graduate job",0%,,70%,,0%,,95%,"Y",0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.105) Academic studies in Education","Non-graduate job",0%,,30%,,0%,,5%,"Y",0%,,0%,
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.108) Initial Teacher Training","Graduate job",99%,,96%,,99%,,100%,"Y",0%,,100%,"Y"
10005790,"SHEFFIELD HALLAM UNIVERSITY","(L3.108) Initial Teacher Training","Non-graduate job",1%,,4%,,1%,,0%,,0%,,0%,
10005946,"SOLIHULL COLLEGE","(L3.105) Academic studies in Education","Graduate job",0%,,0%,,0%,,0%,,0%,,95%,
10005946,"SOLIHULL COLLEGE","(L3.105) Academic studies in Education","Non-graduate job",0%,,0%,,0%,,0%,,0%,,5%,
10005946,"SOLIHULL COLLEGE","(L3.106) Others in Education","Graduate job",0%,,0%,,20%,"Y",0%,,0%,,0%,
10005946,"SOLIHULL COLLEGE","(L3.106) Others in Education","Non-graduate job",0%,,0%,,80%,"Y",0%,,0%,,0%,
10005956,"SOMERSET COLLEGE OF ARTS AND TECHNOLOGY","(L3.96) Design studies","Graduate job",0%,,56%,,0%,,0%,,0%,,0%,
10005956,"SOMERSET COLLEGE OF ARTS AND TECHNOLOGY","(L3.96) Design studies","Non-graduate job",0%,,44%,,0%,,0%,,0%,,0%,
10005956,"SOMERSET COLLEGE OF ARTS AND TECHNOLOGY","(L3.102) Others in Creative Arts and Design","Graduate job",0%,,30%,"Y",0%,,0%,,0%,,0%,
10005956,"SOMERSET COLLEGE OF ARTS AND TECHNOLOGY","(L3.102) Others in Creative Arts and Design","Non-graduate job",0%,,70%,"Y",0%,,0%,,0%,,0%,
10005956,"SOMERSET COLLEGE OF ARTS AND TECHNOLOGY","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,100%,
10005967,"SOUTH BIRMINGHAM COLLEGE","(L3.61) Business studies","Graduate job",0%,,0%,,0%,,0%,,0%,,70%,"Y"
10005967,"SOUTH BIRMINGHAM COLLEGE","(L3.61) Business studies","Non-graduate job",0%,,0%,,0%,,0%,,0%,,30%,"Y"
10005977,"SOUTH DEVON COLLEGE","(L3.05) Nursing","Graduate job",0%,,0%,,90%,"Y",0%,,0%,,0%,
10005977,"SOUTH DEVON COLLEGE","(L3.05) Nursing","Non-graduate job",0%,,0%,,15%,"Y",0%,,0%,,0%,
10005979,"SOUTH DOWNS COLLEGE","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,95%,"Y"
10005979,"SOUTH DOWNS COLLEGE","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10005981,"SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.96) Design studies","Graduate job",0%,,75%,"Y",0%,,0%,,0%,,0%,
10005981,"SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.96) Design studies","Non-graduate job",0%,,25%,"Y",0%,,0%,,0%,,0%,
10005981,"SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,95%,"Y"
10005981,"SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10005999,"SOUTH TYNESIDE COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Graduate job",0%,,0%,,0%,,0%,,0%,,70%,
10005999,"SOUTH TYNESIDE COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Non-graduate job",0%,,0%,,0%,,0%,,0%,,30%,
10005999,"SOUTH TYNESIDE COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Unknown",0%,,0%,,0%,,0%,,0%,,5%,
10005999,"SOUTH TYNESIDE COLLEGE","(L3.106) Others in Education","Graduate job",0%,,0%,,0%,,0%,,0%,,90%,
10005999,"SOUTH TYNESIDE COLLEGE","(L3.106) Others in Education","Non-graduate job",0%,,0%,,0%,,0%,,0%,,10%,
10005999,"SOUTH TYNESIDE COLLEGE","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,85%,"Y"
10005999,"SOUTH TYNESIDE COLLEGE","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,0%,,0%,,15%,"Y"
10006020,"SOUTHAMPTON CITY COLLEGE","(L3.96) Design studies","Graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10006020,"SOUTHAMPTON CITY COLLEGE","(L3.96) Design studies","Non-graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.18) Sports Science","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.18) Sports Science","Non-graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.19) Psychology","Graduate job",0%,,25%,,0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.19) Psychology","Non-graduate job",0%,,75%,,0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.31) Physical Geography and Environmental Science","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.31) Physical Geography and Environmental Science","Non-graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.35) Computer Science","Graduate job",0%,,70%,,0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.35) Computer Science","Non-graduate job",0%,,30%,,0%,,0%,,0%,,0%,
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","(L3.36) General Engineering","Graduate job",0%,,0%,,55%,"Y",0%,,0%,,0%,
